Content,Player,Team,Agents Played,A,ACS,ADR,APR,CL,CL%,D,FD,FDPR,FK,FKPR,HS%,K,K:D,KAST,KMax,KPR,R2.0,Rnd
Player Akai from team Team Falcons has the following stats: R2.0: 1.21 ACS: 274.71 K:D: 1.3 KAST: 72.0 ADR: 176.7 KPR: 0.95 APR: 0.17 FKPR: 0.19 FDPR: 0.17 HS%: 25.64 CL%: 22.64 KMax: 34.0 K: 1068.79 D: 812.88 A: 194.83 FK: 224.5 FD: 191.57 Rnd: 1842,Akai,Team Falcons,"raze, jett, neon",194.83,274.71,176.7,0.17,,22.64,812.88,191.57,0.17,224.5,0.19,25.64,1068.79,1.3,72.0,34.0,0.95,1.21,1842
Player 1kuzohh from team Rebirth Esports has the following stats: R2.0: 1.16 ACS: 264.52 K:D: 1.2 KAST: 70.0 ADR: 170.84 KPR: 0.89 APR: 0.25 FKPR: 0.21 FDPR: 0.2 HS%: 25.2 CL%: 6.59 KMax: 30.8 K: 250.73 D: 209.54 A: 73.35 FK: 56.99 FD: 55.19 Rnd: 539,1kuzohh,Rebirth Esports,"raze, jett, kayo",73.35,264.52,170.84,0.25,,6.59,209.54,55.19,0.2,56.99,0.21,25.2,250.73,1.2,70.0,30.8,0.89,1.16,539
Player Leviathan from team FULL SENSE has the following stats: R2.0: 1.14 ACS: 214.03 K:D: 1.18 KAST: 74.94 ADR: 140.14 KPR: 0.79 APR: 0.35 FKPR: 0.09 FDPR: 0.08 HS%: 33.76 CL%: 16.59 KMax: 26.24 K: 694.88 D: 590.73 A: 312.06 FK: 82.23 FD: 70.45 Rnd: 1717,Leviathan,FULL SENSE,"omen, astra, viper",312.06,214.03,140.14,0.35,,16.59,590.73,70.45,0.08,82.23,0.09,33.76,694.88,1.18,74.94,26.24,0.79,1.14,1717
Player david from team 9z Team has the following stats: R2.0: 1.14 ACS: 206.79 K:D: 1.18 KAST: 77.0 ADR: 135.88 KPR: 0.75 APR: 0.38 FKPR: 0.07 FDPR: 0.04 HS%: 31.0 CL%: 16.86 KMax: 30.7 K: 646.96 D: 549.52 A: 325.7 FK: 57.61 FD: 34.02 Rnd: 1714,david,9z Team,"astra, omen, jett",325.7,206.79,135.88,0.38,,16.86,549.52,34.02,0.04,57.61,0.07,31.0,646.96,1.18,77.0,30.7,0.75,1.14,1714
Player RaM from team Cosmic Divide has the following stats: R2.0: 1.16 ACS: 244.6 K:D: 1.19 KAST: 74.0 ADR: 158.3 KPR: 0.85 APR: 0.3 FKPR: 0.14 FDPR: 0.12 HS%: 25.0 CL%: 17.0 KMax: 26.0 K: 319.0 D: 269.0 A: 113.0 FK: 53.0 FD: 45.0 Rnd: 374,RaM,Cosmic Divide,"skye, kayo, chamber",113.0,244.6,158.3,0.3,,17.0,269.0,45.0,0.12,53.0,0.14,25.0,319.0,1.19,74.0,26.0,0.85,1.16,374
Player XyuS from team ONE Team Esports has the following stats: R2.0: 1.1 ACS: 229.13 K:D: 1.18 KAST: 70.97 ADR: 147.27 KPR: 0.82 APR: 0.14 FKPR: 0.18 FDPR: 0.14 HS%: 29.49 CL%: 11.92 KMax: 30.93 K: 476.9 D: 404.54 A: 84.26 FK: 102.97 FD: 78.72 Rnd: 1153,XyuS,ONE Team Esports,"jett, raze, kayo",84.26,229.13,147.27,0.14,,11.92,404.54,78.72,0.14,102.97,0.18,29.49,476.9,1.18,70.97,30.93,0.82,1.1,1153
Player cortezia from team RED Canids has the following stats: R2.0: 1.17 ACS: 221.91 K:D: 1.18 KAST: 76.5 ADR: 145.08 KPR: 0.77 APR: 0.41 FKPR: 0.08 FDPR: 0.08 HS%: 30.52 CL%: 19.01 KMax: 33.51 K: 741.98 D: 632.38 A: 396.4 FK: 78.0 FD: 75.47 Rnd: 1922,cortezia,RED Canids,"omen, brimstone, viper",396.4,221.91,145.08,0.41,,19.01,632.38,75.47,0.08,78.0,0.08,30.52,741.98,1.18,76.5,33.51,0.77,1.17,1922
Player Poti from team Smoke Troop has the following stats: R2.0: 1.15 ACS: 232.6 K:D: 1.15 KAST: 75.0 ADR: 144.1 KPR: 0.81 APR: 0.34 FKPR: 0.07 FDPR: 0.04 HS%: 36.0 CL%: 12.0 KMax: 23.0 K: 165.0 D: 143.0 A: 69.0 FK: 14.0 FD: 8.0 Rnd: 204,Poti,Smoke Troop,"omen, viper, brimstone",69.0,232.6,144.1,0.34,,12.0,143.0,8.0,0.04,14.0,0.07,36.0,165.0,1.15,75.0,23.0,0.81,1.15,204
Player Nayte from team lesptitesnieces has the following stats: R2.0: 1.14 ACS: 249.1 K:D: 1.2 KAST: 71.0 ADR: 158.4 KPR: 0.86 APR: 0.18 FKPR: 0.19 FDPR: 0.14 HS%: 20.0 CL%: 25.0 KMax: 27.0 K: 244.0 D: 204.0 A: 52.0 FK: 54.0 FD: 40.0 Rnd: 285,Nayte,lesptitesnieces,"jett, raze, cypher",52.0,249.1,158.4,0.18,,25.0,204.0,40.0,0.14,54.0,0.19,20.0,244.0,1.2,71.0,27.0,0.86,1.14,285
Player Spaz from team Blinn has the following stats: R2.0: 1.16 ACS: 202.83 K:D: 1.12 KAST: 75.85 ADR: 130.94 KPR: 0.69 APR: 0.46 FKPR: 0.07 FDPR: 0.07 HS%: 21.15 CL%: 24.62 KMax: 22.69 K: 772.38 D: 682.46 A: 515.35 FK: 81.17 FD: 78.94 Rnd: 1519,Spaz,Blinn,"omen, viper, astra",515.35,202.83,130.94,0.46,,24.62,682.46,78.94,0.07,81.17,0.07,21.15,772.38,1.12,75.85,22.69,0.69,1.16,1519
