Content,Player,Team,Agents Played,A,ACS,ADR,APR,CL,CL%,D,FD,FDPR,FK,FKPR,HS%,K,K:D,KAST,KMax,KPR,R2.0,Rnd
Player KHaaLiD from team The Ultimates has the following stats: R2.0: 1.02 ACS: 192.15 K:D: 1.03 KAST: 72.77 ADR: 127.84 KPR: 0.68 APR: 0.35 FKPR: 0.07 FDPR: 0.08 HS%: 30.77 CL%: 21.18 KMax: 28.41 K: 947.15 D: 915.41 A: 494.12 FK: 104.02 FD: 111.77 Rnd: 2706,KHaaLiD,The Ultimates,"breach, sova, kayo",494.12,192.15,127.84,0.35,,21.18,915.41,111.77,0.08,104.02,0.07,30.77,947.15,1.03,72.77,28.41,0.68,1.02,2706
Player Ant from team Cardume has the following stats: R2.0: 0.98 ACS: 192.4 K:D: 0.96 KAST: 66.0 ADR: 125.6 KPR: 0.67 APR: 0.16 FKPR: 0.08 FDPR: 0.12 HS%: 31.0 CL%: 23.0 KMax: 19.0 K: 137.0 D: 142.0 A: 32.0 FK: 17.0 FD: 24.0 Rnd: 204,Ant,Cardume,"sova, sage, killjoy",32.0,192.4,125.6,0.16,,23.0,142.0,24.0,0.12,17.0,0.08,31.0,137.0,0.96,66.0,19.0,0.67,0.98,204
Player Dambi from team Sin Prisa Gaming has the following stats: R2.0: 1.06 ACS: 228.12 K:D: 1.09 KAST: 72.46 ADR: 148.56 KPR: 0.81 APR: 0.22 FKPR: 0.13 FDPR: 0.14 HS%: 21.69 CL%: 18.61 KMax: 27.07 K: 310.84 D: 284.5 A: 84.3 FK: 50.82 FD: 55.69 Rnd: 767,Dambi,Sin Prisa Gaming,"raze, jett, killjoy",84.3,228.12,148.56,0.22,,18.61,284.5,55.69,0.14,50.82,0.13,21.69,310.84,1.09,72.46,27.07,0.81,1.06,767
Player Sevire from team Solary has the following stats: R2.0: 0.98 ACS: 193.28 K:D: 0.94 KAST: 71.54 ADR: 124.46 KPR: 0.67 APR: 0.35 FKPR: 0.1 FDPR: 0.09 HS%: 26.64 CL%: 18.26 KMax: 24.68 K: 345.74 D: 367.77 A: 176.95 FK: 52.02 FD: 48.94 Rnd: 1018,Sevire,Solary,"jett, chamber, breach",176.95,193.28,124.46,0.35,,18.26,367.77,48.94,0.09,52.02,0.1,26.64,345.74,0.94,71.54,24.68,0.67,0.98,1018
Player Banger from team CREST GAMING Zst has the following stats: R2.0: 0.98 ACS: 194.0 K:D: 1.03 KAST: 68.0 ADR: 129.7 KPR: 0.69 APR: 0.23 FKPR: 0.07 FDPR: 0.06 HS%: 30.0 CL%: 13.0 KMax: 28.0 K: 488.0 D: 473.0 A: 163.0 FK: 39.0 FD: 36.0 Rnd: 712,Banger,CREST GAMING Zst,"killjoy, skye, cypher",163.0,194.0,129.7,0.23,,13.0,473.0,36.0,0.06,39.0,0.07,30.0,488.0,1.03,68.0,28.0,0.69,0.98,712
Player DarkLight from team Solary has the following stats: R2.0: 0.93 ACS: 180.14 K:D: 0.88 KAST: 72.0 ADR: 121.46 KPR: 0.63 APR: 0.27 FKPR: 0.04 FDPR: 0.05 HS%: 22.15 CL%: 16.7 KMax: 21.01 K: 300.14 D: 331.7 A: 127.57 FK: 21.31 FD: 24.89 Rnd: 796,DarkLight,Solary,"viper, omen, astra",127.57,180.14,121.46,0.27,,16.7,331.7,24.89,0.05,21.31,0.04,22.15,300.14,0.88,72.0,21.01,0.63,0.93,796
Player YuNo from team FIVE Media Clan has the following stats: R2.0: 0.96 ACS: 187.6 K:D: 0.89 KAST: 70.91 ADR: 121.23 KPR: 0.65 APR: 0.38 FKPR: 0.07 FDPR: 0.08 HS%: 23.27 CL%: 10.36 KMax: 24.18 K: 311.72 D: 350.18 A: 183.97 FK: 32.19 FD: 40.56 Rnd: 884,YuNo,FIVE Media Clan,"omen, viper, astra",183.97,187.6,121.23,0.38,,10.36,350.18,40.56,0.08,32.19,0.07,23.27,311.72,0.89,70.91,24.18,0.65,0.96,884
Player Cloudy from team SLT Seongnam has the following stats: R2.0: 0.95 ACS: 182.49 K:D: 0.91 KAST: 67.34 ADR: 120.36 KPR: 0.64 APR: 0.3 FKPR: 0.09 FDPR: 0.08 HS%: 26.35 CL%: 12.69 KMax: 22.31 K: 365.35 D: 394.71 A: 168.96 FK: 49.22 FD: 45.56 Rnd: 1011,Cloudy,SLT Seongnam,"sova, jett, fade",168.96,182.49,120.36,0.3,,12.69,394.71,45.56,0.08,49.22,0.09,26.35,365.35,0.91,67.34,22.31,0.64,0.95,1011
Player Leosen from team Eintracht Frankfurt has the following stats: R2.0: 0.96 ACS: 208.56 K:D: 1.0 KAST: 66.38 ADR: 140.33 KPR: 0.75 APR: 0.17 FKPR: 0.13 FDPR: 0.16 HS%: 28.07 CL%: 13.35 KMax: 32.51 K: 421.11 D: 423.11 A: 88.96 FK: 77.86 FD: 95.33 Rnd: 1025,Leosen,Eintracht Frankfurt,"raze, reyna, neon",88.96,208.56,140.33,0.17,,13.35,423.11,95.33,0.16,77.86,0.13,28.07,421.11,1.0,66.38,32.51,0.75,0.96,1025
Player xiTsha from team Diamant Esports has the following stats: R2.0: 1.04 ACS: 200.09 K:D: 1.05 KAST: 72.64 ADR: 132.14 KPR: 0.73 APR: 0.29 FKPR: 0.08 FDPR: 0.09 HS%: 30.54 CL%: 16.45 KMax: 25.0 K: 745.6 D: 702.41 A: 298.48 FK: 81.24 FD: 91.95 Rnd: 1899,xiTsha,Diamant Esports,"omen, astra, sova",298.48,200.09,132.14,0.29,,16.45,702.41,91.95,0.09,81.24,0.08,30.54,745.6,1.05,72.64,25.0,0.73,1.04,1899
Player SHINSEI from team Kizuna Esports has the following stats: R2.0: 1.0 ACS: 241.26 K:D: 1.05 KAST: 66.16 ADR: 154.98 KPR: 0.85 APR: 0.14 FKPR: 0.23 FDPR: 0.23 HS%: 31.58 CL%: 17.97 KMax: 33.58 K: 446.58 D: 429.85 A: 73.95 FK: 122.64 FD: 123.22 Rnd: 1029,SHINSEI,Kizuna Esports,"jett, reyna, cypher",73.95,241.26,154.98,0.14,,17.97,429.85,123.22,0.23,122.64,0.23,31.58,446.58,1.05,66.16,33.58,0.85,1.0,1029
Player CyvOph from team Mandatory has the following stats: R2.0: 1.03 ACS: 212.57 K:D: 1.02 KAST: 73.7 ADR: 138.62 KPR: 0.74 APR: 0.37 FKPR: 0.1 FDPR: 0.1 HS%: 22.7 CL%: 10.35 KMax: 28.41 K: 328.08 D: 331.48 A: 180.64 FK: 43.89 FD: 44.36 Rnd: 846,CyvOph,Mandatory,"jett, raze, kayo",180.64,212.57,138.62,0.37,,10.35,331.48,44.36,0.1,43.89,0.1,22.7,328.08,1.02,73.7,28.41,0.74,1.03,846
Player Melvin from team Demigods @ UCSD has the following stats: R2.0: 0.98 ACS: 200.6 K:D: 0.91 KAST: 69.0 ADR: 140.2 KPR: 0.68 APR: 0.3 FKPR: 0.1 FDPR: 0.1 HS%: 24.0 CL%: 13.0 KMax: 22.0 K: 256.0 D: 282.0 A: 113.0 FK: 38.0 FD: 36.0 Rnd: 377,Melvin,Demigods @ UCSD,"jett, reyna, chamber",113.0,200.6,140.2,0.3,,13.0,282.0,36.0,0.1,38.0,0.1,24.0,256.0,0.91,69.0,22.0,0.68,0.98,377
Player NOBITA from team Sengoku Gaming has the following stats: R2.0: 0.98 ACS: 195.94 K:D: 0.97 KAST: 73.0 ADR: 128.95 KPR: 0.68 APR: 0.33 FKPR: 0.08 FDPR: 0.07 HS%: 23.01 CL%: 12.01 KMax: 27.49 K: 498.51 D: 517.49 A: 242.44 FK: 56.48 FD: 48.52 Rnd: 1467,NOBITA,Sengoku Gaming,"sova, fade, viper",242.44,195.94,128.95,0.33,,12.01,517.49,48.52,0.07,56.48,0.08,23.01,498.51,0.97,73.0,27.49,0.68,0.98,1467
Player waddle from team DSYRE has the following stats: R2.0: 1.04 ACS: 189.27 K:D: 1.05 KAST: 73.01 ADR: 128.17 KPR: 0.66 APR: 0.3 FKPR: 0.06 FDPR: 0.07 HS%: 29.4 CL%: 19.01 KMax: 21.61 K: 537.98 D: 528.23 A: 242.52 FK: 51.77 FD: 56.94 Rnd: 1572,waddle,DSYRE,"sova, sage, skye",242.52,189.27,128.17,0.3,,19.01,528.23,56.94,0.07,51.77,0.06,29.4,537.98,1.05,73.01,21.61,0.66,1.04,1572
Player tricky from team Revenant Esports has the following stats: R2.0: 0.98 ACS: 211.8 K:D: 1.05 KAST: 67.0 ADR: 133.7 KPR: 0.78 APR: 0.16 FKPR: 0.17 FDPR: 0.2 HS%: 25.0 CL%: 16.0 KMax: 39.0 K: 304.0 D: 290.0 A: 64.0 FK: 68.0 FD: 77.0 Rnd: 392,tricky,Revenant Esports,"jett, raze, neon",64.0,211.8,133.7,0.16,,16.0,290.0,77.0,0.2,68.0,0.17,25.0,304.0,1.05,67.0,39.0,0.78,0.98,392
Player ValdyN from team Alter Ego has the following stats: R2.0: 1.0 ACS: 198.85 K:D: 0.97 KAST: 71.47 ADR: 130.8 KPR: 0.7 APR: 0.34 FKPR: 0.09 FDPR: 0.08 HS%: 25.45 CL%: 12.49 KMax: 25.02 K: 551.02 D: 572.33 A: 268.89 FK: 71.01 FD: 65.44 Rnd: 1570,ValdyN,Alter Ego,"jett, cypher, sova",268.89,198.85,130.8,0.34,,12.49,572.33,65.44,0.08,71.01,0.09,25.45,551.02,0.97,71.47,25.02,0.7,1.0,1570
Player GON from team FENNEL has the following stats: R2.0: 0.97 ACS: 182.74 K:D: 0.96 KAST: 71.56 ADR: 120.69 KPR: 0.65 APR: 0.37 FKPR: 0.05 FDPR: 0.07 HS%: 29.0 CL%: 12.22 KMax: 30.8 K: 615.76 D: 642.97 A: 346.74 FK: 50.15 FD: 71.24 Rnd: 1873,GON,FENNEL,"omen, viper, astra",346.74,182.74,120.69,0.37,,12.22,642.97,71.24,0.07,50.15,0.05,29.0,615.76,0.96,71.56,30.8,0.65,0.97,1873
Player HearthBeat from team SweetNsour has the following stats: R2.0: 0.94 ACS: 180.3 K:D: 0.89 KAST: 70.93 ADR: 118.65 KPR: 0.63 APR: 0.39 FKPR: 0.07 FDPR: 0.1 HS%: 27.68 CL%: 11.93 KMax: 24.32 K: 569.4 D: 646.96 A: 345.32 FK: 63.69 FD: 88.36 Rnd: 1624,HearthBeat,SweetNsour,"omen, astra, viper",345.32,180.3,118.65,0.39,,11.93,646.96,88.36,0.1,63.69,0.07,27.68,569.4,0.89,70.93,24.32,0.63,0.94,1624
Player nicksz from team pugdesonesto has the following stats: R2.0: 0.91 ACS: 178.7 K:D: 0.87 KAST: 72.36 ADR: 118.48 KPR: 0.61 APR: 0.4 FKPR: 0.08 FDPR: 0.09 HS%: 24.48 CL%: 17.96 KMax: 25.84 K: 752.15 D: 875.62 A: 515.18 FK: 93.69 FD: 108.93 Rnd: 1674,nicksz,pugdesonesto,"kayo, sage, breach",515.18,178.7,118.48,0.4,,17.96,875.62,108.93,0.09,93.69,0.08,24.48,752.15,0.87,72.36,25.84,0.61,0.91,1674
Player exotic from team OLD STINKY CAT has the following stats: R2.0: 0.89 ACS: 214.52 K:D: 0.91 KAST: 67.61 ADR: 139.64 KPR: 0.75 APR: 0.18 FKPR: 0.19 FDPR: 0.16 HS%: 23.58 CL%: 3.58 KMax: 25.58 K: 285.45 D: 309.01 A: 68.8 FK: 70.41 FD: 60.38 Rnd: 739,exotic,OLD STINKY CAT,"jett, raze, phoenix",68.8,214.52,139.64,0.18,,3.58,309.01,60.38,0.16,70.41,0.19,23.58,285.45,0.91,67.61,25.58,0.75,0.89,739
Player pedio from team Barn nong chok has the following stats: R2.0: 0.82 ACS: 170.29 K:D: 0.75 KAST: 63.95 ADR: 116.44 KPR: 0.59 APR: 0.28 FKPR: 0.07 FDPR: 0.1 HS%: 26.56 CL%: 10.22 KMax: 23.08 K: 195.15 D: 270.76 A: 93.45 FK: 21.22 FD: 32.48 Rnd: 650,pedio,Barn nong chok,"sova, viper, gekko",93.45,170.29,116.44,0.28,,10.22,270.76,32.48,0.1,21.22,0.07,26.56,195.15,0.75,63.95,23.08,0.59,0.82,650
Player RobbieBk from team Joblife has the following stats: R2.0: 1.01 ACS: 185.56 K:D: 0.99 KAST: 72.22 ADR: 125.15 KPR: 0.66 APR: 0.28 FKPR: 0.07 FDPR: 0.08 HS%: 30.22 CL%: 16.22 KMax: 25.61 K: 587.49 D: 590.6 A: 246.11 FK: 60.47 FD: 69.64 Rnd: 1683,RobbieBk,Joblife,"sova, skye, fade",246.11,185.56,125.15,0.28,,16.22,590.6,69.64,0.08,60.47,0.07,30.22,587.49,0.99,72.22,25.61,0.66,1.01,1683
Player Karma from team RIZON has the following stats: R2.0: 0.98 ACS: 206.47 K:D: 0.98 KAST: 66.89 ADR: 139.93 KPR: 0.73 APR: 0.17 FKPR: 0.14 FDPR: 0.16 HS%: 22.22 CL%: 15.77 KMax: 25.44 K: 298.87 D: 305.32 A: 67.12 FK: 55.56 FD: 64.68 Rnd: 809,Karma,RIZON,"raze, jett, killjoy",67.12,206.47,139.93,0.17,,15.77,305.32,64.68,0.16,55.56,0.14,22.22,298.87,0.98,66.89,25.44,0.73,0.98,809
Player ZYND from team ZOL Esports has the following stats: R2.0: 1.01 ACS: 206.32 K:D: 1.03 KAST: 67.91 ADR: 136.06 KPR: 0.75 APR: 0.18 FKPR: 0.15 FDPR: 0.12 HS%: 26.96 CL%: 11.44 KMax: 27.39 K: 576.19 D: 548.25 A: 139.2 FK: 110.42 FD: 90.95 Rnd: 1385,ZYND,ZOL Esports,"jett, cypher, chamber",139.2,206.32,136.06,0.18,,11.44,548.25,90.95,0.12,110.42,0.15,26.96,576.19,1.03,67.91,27.39,0.75,1.01,1385
Player IkE from team Exceptional Gaming has the following stats: R2.0: 0.97 ACS: 188.2 K:D: 0.92 KAST: 72.0 ADR: 124.5 KPR: 0.68 APR: 0.36 FKPR: 0.08 FDPR: 0.09 HS%: 32.0 CL%: 12.0 KMax: 27.0 K: 244.0 D: 264.0 A: 130.0 FK: 29.0 FD: 33.0 Rnd: 360,IkE,Exceptional Gaming,"omen, brimstone, viper",130.0,188.2,124.5,0.36,,12.0,264.0,33.0,0.09,29.0,0.08,32.0,244.0,0.92,72.0,27.0,0.68,0.97,360
Player acrian from team Ambrosia has the following stats: R2.0: 0.98 ACS: 196.04 K:D: 1.01 KAST: 71.39 ADR: 134.29 KPR: 0.69 APR: 0.19 FKPR: 0.08 FDPR: 0.09 HS%: 23.61 CL%: 14.85 KMax: 24.42 K: 471.64 D: 468.25 A: 135.31 FK: 51.76 FD: 59.88 Rnd: 1313,acrian,Ambrosia,"killjoy, cypher, jett",135.31,196.04,134.29,0.19,,14.85,468.25,59.88,0.09,51.76,0.08,23.61,471.64,1.01,71.39,24.42,0.69,0.98,1313
Player Dev0 from team NXT has the following stats: R2.0: 0.99 ACS: 217.61 K:D: 0.99 KAST: 69.52 ADR: 141.07 KPR: 0.76 APR: 0.2 FKPR: 0.16 FDPR: 0.15 HS%: 29.0 CL%: 17.86 KMax: 29.9 K: 367.86 D: 372.24 A: 96.62 FK: 76.47 FD: 74.14 Rnd: 962,Dev0,NXT,"jett, raze, sage",96.62,217.61,141.07,0.2,,17.86,372.24,74.14,0.15,76.47,0.16,29.0,367.86,0.99,69.52,29.9,0.76,0.99,962
Player andrew from team Resonate has the following stats: R2.0: 1.01 ACS: 216.63 K:D: 1.04 KAST: 70.47 ADR: 142.62 KPR: 0.79 APR: 0.17 FKPR: 0.12 FDPR: 0.14 HS%: 29.05 CL%: 11.41 KMax: 28.29 K: 472.01 D: 451.99 A: 99.68 FK: 71.62 FD: 86.58 Rnd: 1026,andrew,Resonate,"jett, raze, chamber",99.68,216.63,142.62,0.17,,11.41,451.99,86.58,0.14,71.62,0.12,29.05,472.01,1.04,70.47,28.29,0.79,1.01,1026
Player NicoMachine from team All Knights has the following stats: R2.0: 0.99 ACS: 193.38 K:D: 0.93 KAST: 74.45 ADR: 125.84 KPR: 0.66 APR: 0.42 FKPR: 0.09 FDPR: 0.1 HS%: 21.76 CL%: 17.76 KMax: 29.69 K: 617.92 D: 660.51 A: 418.68 FK: 87.18 FD: 90.45 Rnd: 1663,NicoMachine,All Knights,"raze, kayo, jett",418.68,193.38,125.84,0.42,,17.76,660.51,90.45,0.1,87.18,0.09,21.76,617.92,0.93,74.45,29.69,0.66,0.99,1663
Player Tim from team Fisher Falcons has the following stats: R2.0: 0.96 ACS: 191.09 K:D: 0.92 KAST: 71.0 ADR: 122.91 KPR: 0.66 APR: 0.35 FKPR: 0.09 FDPR: 0.08 HS%: 23.0 CL%: 15.3 KMax: 22.28 K: 263.88 D: 287.22 A: 132.82 FK: 35.41 FD: 29.91 Rnd: 740,Tim,Fisher Falcons,"omen, viper, astra",132.82,191.09,122.91,0.35,,15.3,287.22,29.91,0.08,35.41,0.09,23.0,263.88,0.92,71.0,22.28,0.66,0.96,740
Player Shondex from team Blue Otter has the following stats: R2.0: 0.97 ACS: 209.3 K:D: 1.01 KAST: 67.0 ADR: 140.7 KPR: 0.79 APR: 0.11 FKPR: 0.17 FDPR: 0.15 HS%: 29.0 CL%: 11.0 KMax: 33.0 K: 199.0 D: 198.0 A: 28.0 FK: 44.0 FD: 39.0 Rnd: 253,Shondex,Blue Otter,"killjoy, omen, cypher",28.0,209.3,140.7,0.11,,11.0,198.0,39.0,0.15,44.0,0.17,29.0,199.0,1.01,67.0,33.0,0.79,0.97,253
Player Flickless from team UCAM Esports Club has the following stats: R2.0: 1.04 ACS: 182.13 K:D: 0.95 KAST: 75.0 ADR: 118.32 KPR: 0.63 APR: 0.47 FKPR: 0.07 FDPR: 0.07 HS%: 23.47 CL%: 17.73 KMax: 24.87 K: 336.66 D: 356.05 A: 248.4 FK: 35.46 FD: 35.2 Rnd: 1056,Flickless,UCAM Esports Club,"jett, breach, kayo",248.4,182.13,118.32,0.47,,17.73,356.05,35.2,0.07,35.46,0.07,23.47,336.66,0.95,75.0,24.87,0.63,1.04,1056
Player mikshak from team Van Lyn has the following stats: R2.0: 0.96 ACS: 178.8 K:D: 0.88 KAST: 73.0 ADR: 111.3 KPR: 0.61 APR: 0.41 FKPR: 0.07 FDPR: 0.06 HS%: 27.0 CL%: 19.0 KMax: 23.0 K: 201.0 D: 228.0 A: 136.0 FK: 22.0 FD: 20.0 Rnd: 331,mikshak,Van Lyn,"omen, astra, viper",136.0,178.8,111.3,0.41,,19.0,228.0,20.0,0.06,22.0,0.07,27.0,201.0,0.88,73.0,23.0,0.61,0.96,331
Player Cantzer from team Team Eastern Europe has the following stats: R2.0: 0.96 ACS: 174.5 K:D: 0.92 KAST: 74.0 ADR: 116.0 KPR: 0.61 APR: 0.35 FKPR: 0.05 FDPR: 0.05 HS%: 25.0 CL%: 9.0 KMax: 25.0 K: 724.0 D: 784.0 A: 420.0 FK: 56.0 FD: 63.0 Rnd: 1188,Cantzer,Team Eastern Europe,"sova, viper, sage",420.0,174.5,116.0,0.35,,9.0,784.0,63.0,0.05,56.0,0.05,25.0,724.0,0.92,74.0,25.0,0.61,0.96,1188
Player Boogeyyy from team Stream Raiders Nacague has the following stats: R2.0: 0.96 ACS: 206.9 K:D: 0.93 KAST: 69.0 ADR: 138.7 KPR: 0.72 APR: 0.2 FKPR: 0.12 FDPR: 0.1 HS%: 29.0 CL%: 7.0 KMax: 28.0 K: 343.0 D: 367.0 A: 97.0 FK: 55.0 FD: 48.0 Rnd: 475,Boogeyyy,Stream Raiders Nacague,"killjoy, sage, jett",97.0,206.9,138.7,0.2,,7.0,367.0,48.0,0.1,55.0,0.12,29.0,343.0,0.93,69.0,28.0,0.72,0.96,475
Player syyse from team RTZN has the following stats: R2.0: 0.96 ACS: 185.0 K:D: 0.95 KAST: 69.0 ADR: 120.6 KPR: 0.65 APR: 0.26 FKPR: 0.07 FDPR: 0.08 HS%: 25.0 CL%: 12.0 KMax: 23.0 K: 176.0 D: 186.0 A: 70.0 FK: 19.0 FD: 23.0 Rnd: 271,syyse,RTZN,"omen, astra, sova",70.0,185.0,120.6,0.26,,12.0,186.0,23.0,0.08,19.0,0.07,25.0,176.0,0.95,69.0,23.0,0.65,0.96,271
Player Juu from team TwoKay has the following stats: R2.0: 0.96 ACS: 186.2 K:D: 0.95 KAST: 66.0 ADR: 124.1 KPR: 0.64 APR: 0.16 FKPR: 0.09 FDPR: 0.08 HS%: 19.0 CL%: 14.0 KMax: 26.0 K: 345.0 D: 365.0 A: 87.0 FK: 49.0 FD: 45.0 Rnd: 537,Juu,TwoKay,"killjoy, chamber, cypher",87.0,186.2,124.1,0.16,,14.0,365.0,45.0,0.08,49.0,0.09,19.0,345.0,0.95,66.0,26.0,0.64,0.96,537
Player ALMO from team Zero Tenacity has the following stats: R2.0: 0.97 ACS: 208.11 K:D: 0.97 KAST: 66.15 ADR: 142.86 KPR: 0.72 APR: 0.19 FKPR: 0.12 FDPR: 0.12 HS%: 26.15 CL%: 14.37 KMax: 28.88 K: 475.89 D: 491.28 A: 122.02 FK: 84.22 FD: 82.17 Rnd: 1293,ALMO,Zero Tenacity,"killjoy, raze, viper",122.02,208.11,142.86,0.19,,14.37,491.28,82.17,0.12,84.22,0.12,26.15,475.89,0.97,66.15,28.88,0.72,0.97,1293
Player DOXZ3R from team Niory Esports has the following stats: R2.0: 0.9 ACS: 180.0 K:D: 0.86 KAST: 68.46 ADR: 120.45 KPR: 0.63 APR: 0.29 FKPR: 0.05 FDPR: 0.08 HS%: 27.24 CL%: 6.76 KMax: 23.93 K: 249.63 D: 287.87 A: 118.19 FK: 18.0 FD: 31.76 Rnd: 758,DOXZ3R,Niory Esports,"sova, killjoy, omen",118.19,180.0,120.45,0.29,,6.76,287.87,31.76,0.08,18.0,0.05,27.24,249.63,0.86,68.46,23.93,0.63,0.9,758
Player sym from team TSM has the following stats: R2.0: 0.99 ACS: 233.18 K:D: 1.03 KAST: 69.39 ADR: 153.01 KPR: 0.81 APR: 0.2 FKPR: 0.23 FDPR: 0.21 HS%: 28.61 CL%: 17.17 KMax: 36.45 K: 1127.28 D: 1085.37 A: 275.16 FK: 324.04 FD: 282.14 Rnd: 2643,sym,TSM,"raze, jett, reyna",275.16,233.18,153.01,0.2,,17.17,1085.37,282.14,0.21,324.04,0.23,28.61,1127.28,1.03,69.39,36.45,0.81,0.99,2643
Player Prti from team Diamant Esports has the following stats: R2.0: 0.94 ACS: 181.83 K:D: 0.9 KAST: 71.2 ADR: 122.33 KPR: 0.63 APR: 0.36 FKPR: 0.07 FDPR: 0.08 HS%: 25.8 CL%: 13.6 KMax: 25.0 K: 658.46 D: 735.02 A: 381.28 FK: 75.0 FD: 87.58 Rnd: 2014,Prti,Diamant Esports,"sova, fade, skye",381.28,181.83,122.33,0.36,,13.6,735.02,87.58,0.08,75.0,0.07,25.8,658.46,0.9,71.2,25.0,0.63,0.94,2014
Player MAR1 from team Torch has the following stats: R2.0: 0.96 ACS: 189.1 K:D: 0.94 KAST: 70.0 ADR: 124.5 KPR: 0.67 APR: 0.39 FKPR: 0.08 FDPR: 0.09 HS%: 33.0 CL%: 11.0 KMax: 26.0 K: 221.0 D: 236.0 A: 129.0 FK: 27.0 FD: 31.0 Rnd: 331,MAR1,Torch,"kayo, breach, skye",129.0,189.1,124.5,0.39,,11.0,236.0,31.0,0.09,27.0,0.08,33.0,221.0,0.94,70.0,26.0,0.67,0.96,331
Player Veqaj from team Zerance has the following stats: R2.0: 1.04 ACS: 197.13 K:D: 1.0 KAST: 74.04 ADR: 126.72 KPR: 0.7 APR: 0.44 FKPR: 0.09 FDPR: 0.09 HS%: 25.88 CL%: 14.04 KMax: 22.52 K: 414.18 D: 415.76 A: 259.53 FK: 52.96 FD: 53.08 Rnd: 1187,Veqaj,Zerance,"skye, jett, raze",259.53,197.13,126.72,0.44,,14.04,415.76,53.08,0.09,52.96,0.09,25.88,414.18,1.0,74.04,22.52,0.7,1.04,1187
Player Cobolt from team The Who? has the following stats: R2.0: 0.96 ACS: 205.8 K:D: 0.88 KAST: 69.0 ADR: 137.2 KPR: 0.71 APR: 0.33 FKPR: 0.09 FDPR: 0.1 HS%: 19.0 CL%: 8.0 KMax: 30.0 K: 228.0 D: 259.0 A: 107.0 FK: 30.0 FD: 31.0 Rnd: 323,Cobolt,The Who?,"omen, viper, astra",107.0,205.8,137.2,0.33,,8.0,259.0,31.0,0.1,30.0,0.09,19.0,228.0,0.88,69.0,30.0,0.71,0.96,323
Player kAzoo from team Twisted Minds Esports has the following stats: R2.0: 0.95 ACS: 191.27 K:D: 0.95 KAST: 69.15 ADR: 129.66 KPR: 0.68 APR: 0.2 FKPR: 0.08 FDPR: 0.1 HS%: 34.72 CL%: 14.85 KMax: 27.98 K: 664.36 D: 700.06 A: 202.95 FK: 85.34 FD: 96.43 Rnd: 1911,kAzoo,Twisted Minds Esports,"reyna, raze, gekko",202.95,191.27,129.66,0.2,,14.85,700.06,96.43,0.1,85.34,0.08,34.72,664.36,0.95,69.15,27.98,0.68,0.95,1911
Player Jow from team E-Xolos LAZER has the following stats: R2.0: 0.93 ACS: 181.3 K:D: 0.89 KAST: 70.09 ADR: 121.83 KPR: 0.64 APR: 0.28 FKPR: 0.09 FDPR: 0.08 HS%: 36.0 CL%: 17.72 KMax: 25.0 K: 352.69 D: 394.93 A: 154.17 FK: 49.63 FD: 43.91 Rnd: 1099,Jow,E-Xolos LAZER,"sova, viper, gekko",154.17,181.3,121.83,0.28,,17.72,394.93,43.91,0.08,49.63,0.09,36.0,352.69,0.89,70.09,25.0,0.64,0.93,1099
Player canefis from team Ovation eSports has the following stats: R2.0: 0.9 ACS: 187.33 K:D: 0.9 KAST: 66.03 ADR: 126.28 KPR: 0.66 APR: 0.18 FKPR: 0.07 FDPR: 0.12 HS%: 30.59 CL%: 18.65 KMax: 21.03 K: 313.51 D: 353.47 A: 88.63 FK: 32.57 FD: 54.54 Rnd: 928,canefis,Ovation eSports,"killjoy, viper, cypher",88.63,187.33,126.28,0.18,,18.65,353.47,54.54,0.12,32.57,0.07,30.59,313.51,0.9,66.03,21.03,0.66,0.9,928
Player freddan from team who cars? has the following stats: R2.0: 0.96 ACS: 195.6 K:D: 0.94 KAST: 70.0 ADR: 135.9 KPR: 0.69 APR: 0.25 FKPR: 0.1 FDPR: 0.09 HS%: 26.0 CL%: 21.0 KMax: 25.0 K: 295.0 D: 314.0 A: 106.0 FK: 43.0 FD: 40.0 Rnd: 430,freddan,who cars?,"omen, killjoy, cypher",106.0,195.6,135.9,0.25,,21.0,314.0,40.0,0.09,43.0,0.1,26.0,295.0,0.94,70.0,25.0,0.69,0.96,430
Player KenzmPs from team FTW Leça FC Esports has the following stats: R2.0: 0.95 ACS: 194.15 K:D: 0.88 KAST: 66.39 ADR: 123.98 KPR: 0.66 APR: 0.28 FKPR: 0.06 FDPR: 0.07 HS%: 28.04 CL%: 3.48 KMax: 22.0 K: 159.18 D: 181.57 A: 67.87 FK: 13.04 FD: 18.48 Rnd: 477,KenzmPs,FTW Leça FC Esports,"breach, sova, skye",67.87,194.15,123.98,0.28,,3.48,181.57,18.48,0.07,13.04,0.06,28.04,159.18,0.88,66.39,22.0,0.66,0.95,477
Player astr0 from team Carti World has the following stats: R2.0: 0.97 ACS: 188.4 K:D: 0.91 KAST: 73.17 ADR: 124.55 KPR: 0.66 APR: 0.39 FKPR: 0.06 FDPR: 0.06 HS%: 29.66 CL%: 12.69 KMax: 28.9 K: 286.22 D: 313.66 A: 170.73 FK: 25.96 FD: 26.69 Rnd: 838,astr0,Carti World,"omen, viper, astra",170.73,188.4,124.55,0.39,,12.69,313.66,26.69,0.06,25.96,0.06,29.66,286.22,0.91,73.17,28.9,0.66,0.97,838
