Content,Player,Team,Agents Played,A,ACS,ADR,APR,CL%,D,FD,FDPR,FK,FKPR,HS%,K,K:D,KAST,KMax,KPR,R2.0,Rnd
Player kalita from team revoada has the following stats: R2.0: 1.0 ACS: 190.19 K:D: 0.97 KAST: 73.88 ADR: 128.08 KPR: 0.66 APR: 0.35 FKPR: 0.07 FDPR: 0.08 HS%: 22.95 CL%: 21.57 KMax: 28.65 K: 273.5 D: 284.04 A: 147.29 FK: 31.33 FD: 30.84 Rnd: 1603,kalita,revoada,"sova, skye, viper",147.29,190.19,128.08,0.35,21.57,284.04,30.84,0.08,31.33,0.07,22.95,273.5,0.97,73.88,28.65,0.66,1.0,1603
Player Gia from team Natus Vincere Celestials has the following stats: R2.0: 0.95 ACS: 193.16 K:D: 0.99 KAST: 68.12 ADR: 130.63 KPR: 0.69 APR: 0.2 FKPR: 0.09 FDPR: 0.09 HS%: 25.09 CL%: 15.07 KMax: 26.34 K: 522.7 D: 508.34 A: 141.3 FK: 70.0 FD: 65.32 Rnd: 2537,Gia,Natus Vincere Celestials,"killjoy, cypher, chamber",141.3,193.16,130.63,0.2,15.07,508.34,65.32,0.09,70.0,0.09,25.09,522.7,0.99,68.12,26.34,0.69,0.95,2537
Player Ritha from team BACKSTABBED has the following stats: R2.0: 0.97 ACS: 190.88 K:D: 0.94 KAST: 72.4 ADR: 129.78 KPR: 0.65 APR: 0.33 FKPR: 0.09 FDPR: 0.08 HS%: 22.19 CL%: 13.86 KMax: 23.56 K: 523.08 D: 551.06 A: 254.56 FK: 71.13 FD: 65.73 Rnd: 2273,Ritha,BACKSTABBED,"sova, breach, raze",254.56,190.88,129.78,0.33,13.86,551.06,65.73,0.08,71.13,0.09,22.19,523.08,0.94,72.4,23.56,0.65,0.97,2273
Player bENITA from team Lil Bros has the following stats: R2.0: 0.98 ACS: 200.19 K:D: 0.94 KAST: 71.23 ADR: 129.98 KPR: 0.68 APR: 0.35 FKPR: 0.11 FDPR: 0.11 HS%: 23.53 CL%: 17.38 KMax: 23.35 K: 603.01 D: 639.43 A: 311.89 FK: 93.51 FD: 95.21 Rnd: 2141,bENITA,Lil Bros,"sova, brimstone, reyna",311.89,200.19,129.98,0.35,17.38,639.43,95.21,0.11,93.51,0.11,23.53,603.01,0.94,71.23,23.35,0.68,0.98,2141
Player ori from team bb.w7m has the following stats: R2.0: 0.87 ACS: 169.2 K:D: 0.78 KAST: 64.99 ADR: 114.52 KPR: 0.58 APR: 0.32 FKPR: 0.03 FDPR: 0.06 HS%: 25.49 CL%: 9.51 KMax: 20.48 K: 164.41 D: 214.04 A: 89.54 FK: 11.0 FD: 16.52 Rnd: 570,ori,bb.w7m,"sova, breach, kayo",89.54,169.2,114.52,0.32,9.51,214.04,16.52,0.06,11.0,0.03,25.49,164.41,0.78,64.99,20.48,0.58,0.87,570
Player Vernina from team mfs has the following stats: R2.0: 0.96 ACS: 195.29 K:D: 0.98 KAST: 66.91 ADR: 126.74 KPR: 0.71 APR: 0.14 FKPR: 0.12 FDPR: 0.11 HS%: 23.65 CL%: 13.17 KMax: 23.79 K: 419.77 D: 422.43 A: 84.93 FK: 74.15 FD: 64.75 Rnd: 1518,Vernina,mfs,"killjoy, chamber, viper",84.93,195.29,126.74,0.14,13.17,422.43,64.75,0.11,74.15,0.12,23.65,419.77,0.98,66.91,23.79,0.71,0.96,1518
Player Sliicyy from team charbon has the following stats: R2.0: 1.03 ACS: 211.98 K:D: 1.04 KAST: 72.83 ADR: 134.85 KPR: 0.75 APR: 0.32 FKPR: 0.12 FDPR: 0.13 HS%: 26.11 CL%: 17.52 KMax: 27.38 K: 625.01 D: 597.32 A: 250.14 FK: 96.25 FD: 106.25 Rnd: 3019,Sliicyy,charbon,"breach, jett, skye",250.14,211.98,134.85,0.32,17.52,597.32,106.25,0.13,96.25,0.12,26.11,625.01,1.04,72.83,27.38,0.75,1.03,3019
Player margeaux from team FULL SENSE SAPPHIRE has the following stats: R2.0: 0.99 ACS: 194.0 K:D: 0.98 KAST: 72.29 ADR: 125.51 KPR: 0.68 APR: 0.38 FKPR: 0.08 FDPR: 0.09 HS%: 31.03 CL%: 20.97 KMax: 22.08 K: 528.97 D: 536.77 A: 326.01 FK: 59.32 FD: 78.39 Rnd: 1684,margeaux,FULL SENSE SAPPHIRE,"omen, brimstone, killjoy",326.01,194.0,125.51,0.38,20.97,536.77,78.39,0.09,59.32,0.08,31.03,528.97,0.98,72.29,22.08,0.68,0.99,1684
Player zAAz from team G2 Gozen has the following stats: R2.0: 1.06 ACS: 198.29 K:D: 1.12 KAST: 75.36 ADR: 131.6 KPR: 0.72 APR: 0.31 FKPR: 0.08 FDPR: 0.07 HS%: 30.17 CL%: 21.89 KMax: 27.11 K: 443.43 D: 400.65 A: 192.01 FK: 52.47 FD: 43.47 Rnd: 1239,zAAz,G2 Gozen,"viper, breach, sage",192.01,198.29,131.6,0.31,21.89,400.65,43.47,0.07,52.47,0.08,30.17,443.43,1.12,75.36,27.11,0.72,1.06,1239
Player rise from team floppers has the following stats: R2.0: 0.99 ACS: 183.63 K:D: 0.95 KAST: 73.77 ADR: 119.67 KPR: 0.64 APR: 0.4 FKPR: 0.07 FDPR: 0.07 HS%: 22.57 CL%: 14.72 KMax: 23.25 K: 457.6 D: 485.76 A: 288.34 FK: 46.09 FD: 50.66 Rnd: 2857,rise,floppers,"omen, viper, astra",288.34,183.63,119.67,0.4,14.72,485.76,50.66,0.07,46.09,0.07,22.57,457.6,0.95,73.77,23.25,0.64,0.99,2857
Player Maddie from team FaZe Clan GC has the following stats: R2.0: 0.85 ACS: 189.16 K:D: 0.81 KAST: 69.69 ADR: 123.77 KPR: 0.64 APR: 0.29 FKPR: 0.08 FDPR: 0.11 HS%: 23.89 CL%: 13.69 KMax: 24.72 K: 297.82 D: 370.7 A: 135.98 FK: 38.03 FD: 53.59 Rnd: 1379,Maddie,FaZe Clan GC,"jett, raze, breach",135.98,189.16,123.77,0.29,13.69,370.7,53.59,0.11,38.03,0.08,23.89,297.82,0.81,69.69,24.72,0.64,0.85,1379
Player isa1 from team Team Leveling has the following stats: R2.0: 1.0 ACS: 204.78 K:D: 1.02 KAST: 69.35 ADR: 133.31 KPR: 0.73 APR: 0.19 FKPR: 0.14 FDPR: 0.14 HS%: 18.74 CL%: 11.11 KMax: 26.98 K: 373.63 D: 368.53 A: 90.26 FK: 70.49 FD: 75.17 Rnd: 1845,isa1,Team Leveling,"jett, raze, chamber",90.26,204.78,133.31,0.19,11.11,368.53,75.17,0.14,70.49,0.14,18.74,373.63,1.02,69.35,26.98,0.73,1.0,1845
Player slaze from team Berzerkers Night has the following stats: R2.0: 0.99 ACS: 199.92 K:D: 0.96 KAST: 71.0 ADR: 131.82 KPR: 0.69 APR: 0.27 FKPR: 0.08 FDPR: 0.08 HS%: 25.16 CL%: 14.67 KMax: 25.16 K: 334.39 D: 348.74 A: 133.25 FK: 38.16 FD: 38.91 Rnd: 953,slaze,Berzerkers Night,"sova, fade, chamber",133.25,199.92,131.82,0.27,14.67,348.74,38.91,0.08,38.16,0.08,25.16,334.39,0.96,71.0,25.16,0.69,0.99,953
Player rain from team Team Karma has the following stats: R2.0: 1.01 ACS: 198.38 K:D: 0.97 KAST: 70.25 ADR: 129.21 KPR: 0.69 APR: 0.34 FKPR: 0.07 FDPR: 0.07 HS%: 22.88 CL%: 14.81 KMax: 23.51 K: 470.15 D: 475.64 A: 227.42 FK: 51.55 FD: 48.87 Rnd: 1602,rain,Team Karma,"omen, astra, brimstone",227.42,198.38,129.21,0.34,14.81,475.64,48.87,0.07,51.55,0.07,22.88,470.15,0.97,70.25,23.51,0.69,1.01,1602
Player Kaephrodite from team MLT Esports GC has the following stats: R2.0: 1.02 ACS: 217.52 K:D: 1.03 KAST: 71.47 ADR: 141.2 KPR: 0.73 APR: 0.24 FKPR: 0.11 FDPR: 0.1 HS%: 16.93 CL%: 15.72 KMax: 26.07 K: 328.05 D: 315.12 A: 103.09 FK: 49.2 FD: 48.81 Rnd: 1234,Kaephrodite,MLT Esports GC,"killjoy, sova, chamber",103.09,217.52,141.2,0.24,15.72,315.12,48.81,0.1,49.2,0.11,16.93,328.05,1.03,71.47,26.07,0.73,1.02,1234
Player lunah from team Purr-fectionists has the following stats: R2.0: 0.98 ACS: 217.7 K:D: 0.98 KAST: 68.24 ADR: 145.45 KPR: 0.76 APR: 0.24 FKPR: 0.12 FDPR: 0.12 HS%: 28.36 CL%: 15.31 KMax: 28.36 K: 435.09 D: 440.54 A: 136.9 FK: 66.86 FD: 68.62 Rnd: 1672,lunah,Purr-fectionists,"kayo, reyna, fade",136.9,217.7,145.45,0.24,15.31,440.54,68.62,0.12,66.86,0.12,28.36,435.09,0.98,68.24,28.36,0.76,0.98,1672
Player jduh from team BBL Queens has the following stats: R2.0: 1.07 ACS: 201.93 K:D: 1.06 KAST: 71.98 ADR: 131.6 KPR: 0.72 APR: 0.34 FKPR: 0.08 FDPR: 0.07 HS%: 29.37 CL%: 17.66 KMax: 26.2 K: 616.68 D: 577.5 A: 310.96 FK: 64.48 FD: 62.48 Rnd: 2735,jduh,BBL Queens,"astra, omen, sova",310.96,201.93,131.6,0.34,17.66,577.5,62.48,0.07,64.48,0.08,29.37,616.68,1.06,71.98,26.2,0.72,1.07,2735
Player Danah from team Team Falcons Vega has the following stats: R2.0: 0.98 ACS: 205.37 K:D: 0.96 KAST: 70.34 ADR: 135.8 KPR: 0.7 APR: 0.32 FKPR: 0.12 FDPR: 0.13 HS%: 25.12 CL%: 16.54 KMax: 24.06 K: 580.91 D: 607.13 A: 273.04 FK: 95.52 FD: 101.1 Rnd: 2222,Danah,Team Falcons Vega,"raze, sova, skye",273.04,205.37,135.8,0.32,16.54,607.13,101.1,0.13,95.52,0.12,25.12,580.91,0.96,70.34,24.06,0.7,0.98,2222
Player Noia from team Shopify Rebellion has the following stats: R2.0: 1.1 ACS: 218.21 K:D: 1.19 KAST: 72.79 ADR: 146.01 KPR: 0.78 APR: 0.21 FKPR: 0.11 FDPR: 0.09 HS%: 27.32 CL%: 17.14 KMax: 30.7 K: 701.53 D: 583.24 A: 184.03 FK: 93.46 FD: 78.0 Rnd: 3471,Noia,Shopify Rebellion,"killjoy, cypher, chamber",184.03,218.21,146.01,0.21,17.14,583.24,78.0,0.09,93.46,0.11,27.32,701.53,1.19,72.79,30.7,0.78,1.1,3471
Player jademwah from team Odd 1 OUT has the following stats: R2.0: 1.02 ACS: 216.54 K:D: 1.03 KAST: 71.28 ADR: 137.69 KPR: 0.75 APR: 0.32 FKPR: 0.12 FDPR: 0.13 HS%: 20.4 CL%: 14.71 KMax: 29.86 K: 654.84 D: 630.75 A: 294.59 FK: 106.53 FD: 110.29 Rnd: 3196,jademwah,Odd 1 OUT,"sova, jett, skye",294.59,216.54,137.69,0.32,14.71,630.75,110.29,0.13,106.53,0.12,20.4,654.84,1.03,71.28,29.86,0.75,1.02,3196
Player LeahPanda from team Wildflowers has the following stats: R2.0: 0.83 ACS: 164.18 K:D: 0.77 KAST: 68.86 ADR: 108.03 KPR: 0.56 APR: 0.35 FKPR: 0.05 FDPR: 0.08 HS%: 15.79 CL%: 8.72 KMax: 20.85 K: 248.5 D: 326.12 A: 147.37 FK: 21.14 FD: 34.67 Rnd: 1166,LeahPanda,Wildflowers,"sova, breach, skye",147.37,164.18,108.03,0.35,8.72,326.12,34.67,0.08,21.14,0.05,15.79,248.5,0.77,68.86,20.85,0.56,0.83,1166
Player kyo from team Into The Breach Prime has the following stats: R2.0: 0.96 ACS: 180.3 K:D: 0.84 KAST: 66.0 ADR: 122.2 KPR: 0.63 APR: 0.34 FKPR: 0.06 FDPR: 0.07 HS%: 22.0 CL%: 10.0 KMax: 20.0 K: 132.0 D: 157.0 A: 72.0 FK: 12.0 FD: 14.0 Rnd: 211,kyo,Into The Breach Prime,"sova, omen, viper",72.0,180.3,122.2,0.34,10.0,157.0,14.0,0.07,12.0,0.06,22.0,132.0,0.84,66.0,20.0,0.63,0.96,211
Player LiriLia from team charbon has the following stats: R2.0: 0.92 ACS: 176.57 K:D: 0.88 KAST: 72.02 ADR: 117.15 KPR: 0.63 APR: 0.39 FKPR: 0.07 FDPR: 0.09 HS%: 25.6 CL%: 14.92 KMax: 25.34 K: 572.91 D: 659.55 A: 356.84 FK: 64.4 FD: 78.46 Rnd: 3232,LiriLia,charbon,"astra, omen, sova",356.84,176.57,117.15,0.39,14.92,659.55,78.46,0.09,64.4,0.07,25.6,572.91,0.88,72.02,25.34,0.63,0.92,3232
Player Kim from team Guild GC has the following stats: R2.0: 0.92 ACS: 178.4 K:D: 0.88 KAST: 72.53 ADR: 114.95 KPR: 0.62 APR: 0.36 FKPR: 0.07 FDPR: 0.08 HS%: 18.61 CL%: 16.84 KMax: 25.5 K: 540.08 D: 618.31 A: 312.87 FK: 56.95 FD: 73.76 Rnd: 2544,Kim,Guild GC,"astra, breach, fade",312.87,178.4,114.95,0.36,16.84,618.31,73.76,0.08,56.95,0.07,18.61,540.08,0.88,72.53,25.5,0.62,0.92,2544
Player naxy from team zikas do baile has the following stats: R2.0: 1.0 ACS: 181.33 K:D: 1.03 KAST: 74.11 ADR: 118.89 KPR: 0.64 APR: 0.31 FKPR: 0.06 FDPR: 0.05 HS%: 17.44 CL%: 17.11 KMax: 27.56 K: 809.34 D: 776.85 A: 404.31 FK: 64.14 FD: 64.48 Rnd: 1933,naxy,zikas do baile,"viper, killjoy, cypher",404.31,181.33,118.89,0.31,17.11,776.85,64.48,0.05,64.14,0.06,17.44,809.34,1.03,74.11,27.56,0.64,1.0,1933
Player h6tedthemost from team Acend Rising has the following stats: R2.0: 0.98 ACS: 185.77 K:D: 0.94 KAST: 73.71 ADR: 121.74 KPR: 0.64 APR: 0.36 FKPR: 0.08 FDPR: 0.08 HS%: 25.44 CL%: 16.44 KMax: 26.49 K: 669.12 D: 728.79 A: 395.27 FK: 82.09 FD: 96.85 Rnd: 2695,h6tedthemost,Acend Rising,"sova, kayo, skye",395.27,185.77,121.74,0.36,16.44,728.79,96.85,0.08,82.09,0.08,25.44,669.12,0.94,73.71,26.49,0.64,0.98,2695
Player Raina from team BLAZE has the following stats: R2.0: 0.91 ACS: 184.95 K:D: 0.87 KAST: 72.07 ADR: 118.41 KPR: 0.64 APR: 0.35 FKPR: 0.08 FDPR: 0.09 HS%: 20.54 CL%: 14.06 KMax: 23.93 K: 487.87 D: 561.82 A: 273.26 FK: 63.08 FD: 67.64 Rnd: 2268,Raina,BLAZE,"viper, astra, kayo",273.26,184.95,118.41,0.35,14.06,561.82,67.64,0.09,63.08,0.08,20.54,487.87,0.87,72.07,23.93,0.64,0.91,2268
Player Cille from team HEROIC Valkyries has the following stats: R2.0: 0.83 ACS: 171.34 K:D: 0.8 KAST: 66.3 ADR: 115.35 KPR: 0.6 APR: 0.29 FKPR: 0.07 FDPR: 0.09 HS%: 29.72 CL%: 10.24 KMax: 22.47 K: 402.72 D: 513.39 A: 196.47 FK: 42.89 FD: 65.52 Rnd: 2513,Cille,HEROIC Valkyries,"kayo, omen, astra",196.47,171.34,115.35,0.29,10.24,513.39,65.52,0.09,42.89,0.07,29.72,402.72,0.8,66.3,22.47,0.6,0.83,2513
Player Muffyn from team Money First has the following stats: R2.0: 1.06 ACS: 236.94 K:D: 1.09 KAST: 72.08 ADR: 150.55 KPR: 0.8 APR: 0.22 FKPR: 0.19 FDPR: 0.16 HS%: 19.4 CL%: 15.44 KMax: 30.89 K: 838.94 D: 754.41 A: 217.31 FK: 206.19 FD: 167.84 Rnd: 2860,Muffyn,Money First,"jett, raze, neon",217.31,236.94,150.55,0.22,15.44,754.41,167.84,0.16,206.19,0.19,19.4,838.94,1.09,72.08,30.89,0.8,1.06,2860
Player amnesia from team CLG Red has the following stats: R2.0: 0.96 ACS: 187.34 K:D: 0.96 KAST: 70.32 ADR: 121.01 KPR: 0.65 APR: 0.21 FKPR: 0.08 FDPR: 0.09 HS%: 18.58 CL%: 16.71 KMax: 21.74 K: 380.08 D: 394.01 A: 121.22 FK: 48.86 FD: 50.77 Rnd: 1118,amnesia,CLG Red,"cypher, sage, chamber",121.22,187.34,121.01,0.21,16.71,394.01,50.77,0.09,48.86,0.08,18.58,380.08,0.96,70.32,21.74,0.65,0.96,1118
Player Ellie from team Team Karma has the following stats: R2.0: 0.97 ACS: 205.04 K:D: 0.95 KAST: 68.11 ADR: 133.74 KPR: 0.7 APR: 0.27 FKPR: 0.09 FDPR: 0.1 HS%: 26.95 CL%: 10.99 KMax: 23.72 K: 293.86 D: 306.75 A: 113.96 FK: 38.94 FD: 39.55 Rnd: 1532,Ellie,Team Karma,"sova, skye, raze",113.96,205.04,133.74,0.27,10.99,306.75,39.55,0.1,38.94,0.09,26.95,293.86,0.95,68.11,23.72,0.7,0.97,1532
Player KP from team Out the mud has the following stats: R2.0: 0.97 ACS: 181.94 K:D: 0.97 KAST: 73.02 ADR: 119.22 KPR: 0.65 APR: 0.33 FKPR: 0.06 FDPR: 0.08 HS%: 28.92 CL%: 14.3 KMax: 28.03 K: 786.45 D: 806.13 A: 391.1 FK: 66.55 FD: 92.55 Rnd: 3238,KP,Out the mud,"sova, breach, skye",391.1,181.94,119.22,0.33,14.3,806.13,92.55,0.08,66.55,0.06,28.92,786.45,0.97,73.02,28.03,0.65,0.97,3238
Player ARIANARCHIST from team mesos millionaires has the following stats: R2.0: 0.99 ACS: 209.46 K:D: 1.0 KAST: 68.93 ADR: 137.74 KPR: 0.73 APR: 0.22 FKPR: 0.14 FDPR: 0.16 HS%: 17.63 CL%: 20.22 KMax: 31.04 K: 293.33 D: 294.55 A: 88.97 FK: 52.15 FD: 64.55 Rnd: 797,ARIANARCHIST,mesos millionaires,"jett, viper, raze",88.97,209.46,137.74,0.22,20.22,294.55,64.55,0.16,52.15,0.14,17.63,293.33,1.0,68.93,31.04,0.73,0.99,797
