Content,Player,Team,Agents Played,A,ACS,ADR,APR,CL%,D,FD,FDPR,FK,FKPR,HS%,K,K:D,KAST,KMax,KPR,R2.0,Rnd
Player Stormy from team SMARACIS eSports Female has the following stats: R2.0: 0.86 ACS: 181.03 K:D: 0.86 KAST: 62.0 ADR: 125.07 KPR: 0.65 APR: 0.22 FKPR: 0.1 FDPR: 0.13 HS%: 30.0 CL%: 14.59 KMax: 28.24 K: 257.01 D: 299.08 A: 83.21 FK: 40.91 FD: 52.55 Rnd: 734,Stormy,SMARACIS eSports Female,"skye, reyna, astra",83.21,181.03,125.07,0.22,14.59,299.08,52.55,0.13,40.91,0.1,30.0,257.01,0.86,62.0,28.24,0.65,0.86,734
Player jules from team Before has the following stats: R2.0: 0.93 ACS: 182.87 K:D: 0.91 KAST: 70.15 ADR: 123.27 KPR: 0.65 APR: 0.2 FKPR: 0.07 FDPR: 0.09 HS%: 29.67 CL%: 10.78 KMax: 21.81 K: 209.99 D: 226.86 A: 66.75 FK: 20.16 FD: 28.44 Rnd: 894,jules,Before,"killjoy, viper, cypher",66.75,182.87,123.27,0.2,10.78,226.86,28.44,0.09,20.16,0.07,29.67,209.99,0.91,70.15,21.81,0.65,0.93,894
Player Chobo from team Team Jess has the following stats: R2.0: 0.81 ACS: 181.7 K:D: 0.82 KAST: 69.0 ADR: 119.6 KPR: 0.6 APR: 0.29 FKPR: 0.08 FDPR: 0.12 HS%: 16.0 CL%: 13.0 KMax: 23.0 K: 304.0 D: 371.0 A: 149.0 FK: 41.0 FD: 62.0 Rnd: 509,Chobo,Team Jess,"raze, cypher, sage",149.0,181.7,119.6,0.29,13.0,371.0,62.0,0.12,41.0,0.08,16.0,304.0,0.82,69.0,23.0,0.6,0.81,509
Player isafx from team Looking For Org 2.0 has the following stats: R2.0: 0.83 ACS: 183.77 K:D: 0.85 KAST: 62.41 ADR: 121.43 KPR: 0.66 APR: 0.19 FKPR: 0.11 FDPR: 0.16 HS%: 22.0 CL%: 16.18 KMax: 23.94 K: 185.77 D: 217.77 A: 50.0 FK: 31.3 FD: 45.71 Rnd: 549,isafx,Looking For Org 2.0,"raze, killjoy, skye",50.0,183.77,121.43,0.19,16.18,217.77,45.71,0.16,31.3,0.11,22.0,185.77,0.85,62.41,23.94,0.66,0.83,549
Player Metzly from team Case Hydra has the following stats: R2.0: 0.92 ACS: 176.5 K:D: 0.93 KAST: 65.03 ADR: 118.21 KPR: 0.63 APR: 0.17 FKPR: 0.07 FDPR: 0.09 HS%: 20.25 CL%: 24.3 KMax: 24.11 K: 192.64 D: 202.09 A: 52.44 FK: 20.77 FD: 26.94 Rnd: 559,Metzly,Case Hydra,"killjoy, chamber, viper",52.44,176.5,118.21,0.17,24.3,202.09,26.94,0.09,20.77,0.07,20.25,192.64,0.93,65.03,24.11,0.63,0.92,559
Player mindle from team Team Leveling has the following stats: R2.0: 0.87 ACS: 184.04 K:D: 0.84 KAST: 69.4 ADR: 121.2 KPR: 0.64 APR: 0.29 FKPR: 0.1 FDPR: 0.12 HS%: 25.18 CL%: 14.72 KMax: 24.07 K: 371.33 D: 439.17 A: 167.27 FK: 57.62 FD: 68.88 Rnd: 1985,mindle,Team Leveling,"raze, sova, skye",167.27,184.04,121.2,0.29,14.72,439.17,68.88,0.12,57.62,0.1,25.18,371.33,0.84,69.4,24.07,0.64,0.87,1985
Player ruu from team ARF Starlight has the following stats: R2.0: 0.8 ACS: 166.5 K:D: 0.72 KAST: 66.0 ADR: 109.5 KPR: 0.54 APR: 0.23 FKPR: 0.04 FDPR: 0.07 HS%: 17.0 CL%: 12.0 KMax: 19.0 K: 129.0 D: 179.0 A: 55.0 FK: 10.0 FD: 16.0 Rnd: 237,ruu,ARF Starlight,"raze, killjoy, sage",55.0,166.5,109.5,0.23,12.0,179.0,16.0,0.07,10.0,0.04,17.0,129.0,0.72,66.0,19.0,0.54,0.8,237
Player Slandy from team Reformed GC has the following stats: R2.0: 0.87 ACS: 167.55 K:D: 0.82 KAST: 70.94 ADR: 111.21 KPR: 0.59 APR: 0.34 FKPR: 0.06 FDPR: 0.09 HS%: 23.15 CL%: 12.97 KMax: 23.99 K: 334.36 D: 408.48 A: 199.33 FK: 31.75 FD: 48.44 Rnd: 2019,Slandy,Reformed GC,"skye, breach, kayo",199.33,167.55,111.21,0.34,12.97,408.48,48.44,0.09,31.75,0.06,23.15,334.36,0.82,70.94,23.99,0.59,0.87,2019
Player Natty from team VersionX has the following stats: R2.0: 0.79 ACS: 180.7 K:D: 0.71 KAST: 65.0 ADR: 119.3 KPR: 0.61 APR: 0.26 FKPR: 0.11 FDPR: 0.14 HS%: 19.0 CL%: 11.0 KMax: 21.0 K: 175.0 D: 247.0 A: 75.0 FK: 31.0 FD: 39.0 Rnd: 288,Natty,VersionX,"viper, raze, chamber",75.0,180.7,119.3,0.26,11.0,247.0,39.0,0.14,31.0,0.11,19.0,175.0,0.71,65.0,21.0,0.61,0.79,288
Player 1001 from team Panny Sitter has the following stats: R2.0: 0.78 ACS: 172.4 K:D: 0.78 KAST: 64.0 ADR: 111.7 KPR: 0.61 APR: 0.2 FKPR: 0.06 FDPR: 0.11 HS%: 24.0 CL%: 14.0 KMax: 22.0 K: 204.0 D: 263.0 A: 68.0 FK: 21.0 FD: 38.0 Rnd: 332,1001,Panny Sitter,"killjoy, sova, viper",68.0,172.4,111.7,0.2,14.0,263.0,38.0,0.11,21.0,0.06,24.0,204.0,0.78,64.0,22.0,0.61,0.78,332
Player Stan from team Oasis Gaming GC has the following stats: R2.0: 0.77 ACS: 157.1 K:D: 0.67 KAST: 66.0 ADR: 103.9 KPR: 0.51 APR: 0.31 FKPR: 0.03 FDPR: 0.06 HS%: 16.0 CL%: 8.0 KMax: 16.0 K: 143.0 D: 213.0 A: 86.0 FK: 7.0 FD: 16.0 Rnd: 280,Stan,Oasis Gaming GC,"sova, killjoy, sage",86.0,157.1,103.9,0.31,8.0,213.0,16.0,0.06,7.0,0.03,16.0,143.0,0.67,66.0,16.0,0.51,0.77,280
Player Envious from team Cardboard Dinosaur has the following stats: R2.0: 0.9 ACS: 202.25 K:D: 0.89 KAST: 67.78 ADR: 129.62 KPR: 0.69 APR: 0.28 FKPR: 0.13 FDPR: 0.16 HS%: 22.7 CL%: 14.57 KMax: 25.6 K: 355.95 D: 393.44 A: 142.87 FK: 65.43 FD: 77.68 Rnd: 1901,Envious,Cardboard Dinosaur,"jett, omen, neon",142.87,202.25,129.62,0.28,14.57,393.44,77.68,0.16,65.43,0.13,22.7,355.95,0.89,67.78,25.6,0.69,0.9,1901
Player blu from team LOUD GC has the following stats: R2.0: 0.83 ACS: 166.48 K:D: 0.78 KAST: 65.78 ADR: 111.52 KPR: 0.58 APR: 0.31 FKPR: 0.08 FDPR: 0.11 HS%: 25.25 CL%: 12.48 KMax: 24.23 K: 325.7 D: 414.8 A: 183.95 FK: 44.83 FD: 61.84 Rnd: 2056,blu,LOUD GC,"killjoy, skye, cypher",183.95,166.48,111.52,0.31,12.48,414.8,61.84,0.11,44.83,0.08,25.25,325.7,0.78,65.78,24.23,0.58,0.83,2056
Player Kuripuuya from team Karmine Corp GC has the following stats: R2.0: 0.94 ACS: 188.97 K:D: 0.89 KAST: 69.15 ADR: 124.26 KPR: 0.64 APR: 0.32 FKPR: 0.11 FDPR: 0.12 HS%: 26.69 CL%: 19.0 KMax: 22.51 K: 416.14 D: 458.37 A: 221.97 FK: 64.38 FD: 61.09 Rnd: 1872,Kuripuuya,Karmine Corp GC,"viper, astra, jett",221.97,188.97,124.26,0.32,19.0,458.37,61.09,0.12,64.38,0.11,26.69,416.14,0.89,69.15,22.51,0.64,0.94,1872
Player Starlight from team Velaris has the following stats: R2.0: 0.75 ACS: 155.7 K:D: 0.72 KAST: 65.07 ADR: 102.98 KPR: 0.55 APR: 0.27 FKPR: 0.06 FDPR: 0.1 HS%: 21.8 CL%: 13.51 KMax: 21.24 K: 321.02 D: 442.99 A: 155.06 FK: 32.79 FD: 60.22 Rnd: 1463,Starlight,Velaris,"astra, viper, sova",155.06,155.7,102.98,0.27,13.51,442.99,60.22,0.1,32.79,0.06,21.8,321.02,0.72,65.07,21.24,0.55,0.75,1463
Player rayka from team BBL Queens has the following stats: R2.0: 0.87 ACS: 177.75 K:D: 0.87 KAST: 69.2 ADR: 120.67 KPR: 0.62 APR: 0.23 FKPR: 0.08 FDPR: 0.09 HS%: 22.73 CL%: 11.45 KMax: 25.97 K: 354.03 D: 399.97 A: 127.07 FK: 44.39 FD: 48.33 Rnd: 1464,rayka,BBL Queens,"jett, raze, killjoy",127.07,177.75,120.67,0.23,11.45,399.97,48.33,0.09,44.39,0.08,22.73,354.03,0.87,69.2,25.97,0.62,0.87,1464
Player BriTSy from team Asmodeus Colosseum GC has the following stats: R2.0: 0.67 ACS: 125.3 K:D: 0.58 KAST: 63.0 ADR: 91.0 KPR: 0.43 APR: 0.32 FKPR: 0.03 FDPR: 0.07 HS%: 17.0 CL%: 12.0 KMax: 17.0 K: 101.0 D: 175.0 A: 76.0 FK: 6.0 FD: 17.0 Rnd: 235,BriTSy,Asmodeus Colosseum GC,"sova, breach, kayo",76.0,125.3,91.0,0.32,12.0,175.0,17.0,0.07,6.0,0.03,17.0,101.0,0.58,63.0,17.0,0.43,0.67,235
Player Mochiyx from team BIGG SCYTHE has the following stats: R2.0: 0.65 ACS: 136.6 K:D: 0.61 KAST: 60.0 ADR: 90.2 KPR: 0.48 APR: 0.22 FKPR: 0.05 FDPR: 0.08 HS%: 24.0 CL%: 15.0 KMax: 19.0 K: 160.0 D: 262.0 A: 73.0 FK: 16.0 FD: 28.0 Rnd: 332,Mochiyx,BIGG SCYTHE,"astra, viper, omen",73.0,136.6,90.2,0.22,15.0,262.0,28.0,0.08,16.0,0.05,24.0,160.0,0.61,60.0,19.0,0.48,0.65,332
Player m1lky from team VersionX has the following stats: R2.0: 0.63 ACS: 164.9 K:D: 0.62 KAST: 57.0 ADR: 106.8 KPR: 0.54 APR: 0.2 FKPR: 0.09 FDPR: 0.23 HS%: 18.0 CL%: 0.0 KMax: 23.0 K: 175.0 D: 284.0 A: 63.0 FK: 30.0 FD: 74.0 Rnd: 322,m1lky,VersionX,"jett, reyna, raze",63.0,164.9,106.8,0.2,0.0,284.0,74.0,0.23,30.0,0.09,18.0,175.0,0.62,57.0,23.0,0.54,0.63,322
Player keenc from team Evil Geniuses GC has the following stats: R2.0: 1.4 ACS: 294.01 K:D: 1.6 KAST: 77.64 ADR: 182.46 KPR: 1.04 APR: 0.19 FKPR: 0.2 FDPR: 0.11 HS%: 19.15 CL%: 20.79 KMax: 34.3 K: 767.03 D: 494.97 A: 141.18 FK: 152.42 FD: 83.36 Rnd: 1122,keenc,Evil Geniuses GC,"jett, chamber, raze",141.18,294.01,182.46,0.19,20.79,494.97,83.36,0.11,152.42,0.2,19.15,767.03,1.6,77.64,34.3,1.04,1.4,1122
Player conir from team KRÜ BLAZE has the following stats: R2.0: 1.3 ACS: 239.23 K:D: 1.43 KAST: 79.71 ADR: 157.36 KPR: 0.87 APR: 0.37 FKPR: 0.12 FDPR: 0.07 HS%: 27.53 CL%: 19.06 KMax: 26.76 K: 410.02 D: 288.41 A: 176.08 FK: 56.26 FD: 34.14 Rnd: 1407,conir,KRÜ BLAZE,"omen, chamber, reyna",176.08,239.23,157.36,0.37,19.06,288.41,34.14,0.07,56.26,0.12,27.53,410.02,1.43,79.71,26.76,0.87,1.3,1407
Player Bob from team SaD Esports has the following stats: R2.0: 1.37 ACS: 251.33 K:D: 1.54 KAST: 79.63 ADR: 165.01 KPR: 0.88 APR: 0.38 FKPR: 0.11 FDPR: 0.05 HS%: 30.38 CL%: 22.75 KMax: 30.25 K: 640.19 D: 408.95 A: 277.81 FK: 81.94 FD: 40.02 Rnd: 1354,Bob,SaD Esports,"sova, viper, skye",277.81,251.33,165.01,0.38,22.75,408.95,40.02,0.05,81.94,0.11,30.38,640.19,1.54,79.63,30.25,0.88,1.37,1354
Player florescent from team Shopify Rebellion has the following stats: R2.0: 1.44 ACS: 306.57 K:D: 1.65 KAST: 76.58 ADR: 196.54 KPR: 1.09 APR: 0.2 FKPR: 0.22 FDPR: 0.13 HS%: 28.79 CL%: 20.51 KMax: 33.7 K: 929.12 D: 553.58 A: 172.75 FK: 186.79 FD: 106.43 Rnd: 2272,florescent,Shopify Rebellion,"jett, raze, neon",172.75,306.57,196.54,0.2,20.51,553.58,106.43,0.13,186.79,0.22,28.79,929.12,1.65,76.58,33.7,1.09,1.44,2272
Player Alexy from team Xipto Esports has the following stats: R2.0: 1.3 ACS: 251.4 K:D: 1.45 KAST: 79.34 ADR: 165.01 KPR: 0.9 APR: 0.31 FKPR: 0.15 FDPR: 0.1 HS%: 27.62 CL%: 21.6 KMax: 28.34 K: 892.22 D: 621.21 A: 319.12 FK: 144.67 FD: 92.97 Rnd: 2496,Alexy,Xipto Esports,"jett, raze, skye",319.12,251.4,165.01,0.31,21.6,621.21,92.97,0.1,144.67,0.15,27.62,892.22,1.45,79.34,28.34,0.9,1.3,2496
Player mmonch from team Akave Esports GC has the following stats: R2.0: 1.22 ACS: 225.98 K:D: 1.32 KAST: 76.16 ADR: 147.86 KPR: 0.81 APR: 0.3 FKPR: 0.1 FDPR: 0.07 HS%: 28.32 CL%: 20.02 KMax: 26.37 K: 481.75 D: 358.58 A: 169.45 FK: 56.53 FD: 35.52 Rnd: 1578,mmonch,Akave Esports GC,"cypher, viper, sova",169.45,225.98,147.86,0.3,20.02,358.58,35.52,0.07,56.53,0.1,28.32,481.75,1.32,76.16,26.37,0.81,1.22,1578
Player Ivy from team Akave Esports GC has the following stats: R2.0: 1.14 ACS: 226.18 K:D: 1.17 KAST: 74.72 ADR: 151.23 KPR: 0.79 APR: 0.32 FKPR: 0.13 FDPR: 0.12 HS%: 29.59 CL%: 20.13 KMax: 26.44 K: 434.43 D: 368.29 A: 179.11 FK: 67.06 FD: 65.22 Rnd: 1474,Ivy,Akave Esports GC,"raze, skye, kayo",179.11,226.18,151.23,0.32,20.13,368.29,65.22,0.12,67.06,0.13,29.59,434.43,1.17,74.72,26.44,0.79,1.14,1474
Player sarahcat from team Shopify Rebellion has the following stats: R2.0: 1.14 ACS: 234.29 K:D: 1.19 KAST: 76.68 ADR: 150.73 KPR: 0.81 APR: 0.34 FKPR: 0.12 FDPR: 0.11 HS%: 28.26 CL%: 21.98 KMax: 29.22 K: 792.59 D: 665.51 A: 337.5 FK: 120.05 FD: 106.22 Rnd: 2943,sarahcat,Shopify Rebellion,"sova, viper, kayo",337.5,234.29,150.73,0.34,21.98,665.51,106.22,0.11,120.05,0.12,28.26,792.59,1.19,76.68,29.22,0.81,1.14,2943
Player consu from team Las Jubiladas has the following stats: R2.0: 1.19 ACS: 231.0 K:D: 1.25 KAST: 78.0 ADR: 151.2 KPR: 0.8 APR: 0.41 FKPR: 0.1 FDPR: 0.08 HS%: 19.0 CL%: 18.0 KMax: 21.0 K: 320.0 D: 256.0 A: 163.0 FK: 39.0 FD: 33.0 Rnd: 401,consu,Las Jubiladas,"astra, viper, phoenix",163.0,231.0,151.2,0.41,18.0,256.0,33.0,0.08,39.0,0.1,19.0,320.0,1.25,78.0,21.0,0.8,1.19,401
Player hannah from team Disguised GC has the following stats: R2.0: 1.08 ACS: 209.96 K:D: 1.13 KAST: 71.89 ADR: 138.1 KPR: 0.74 APR: 0.23 FKPR: 0.08 FDPR: 0.07 HS%: 24.58 CL%: 13.0 KMax: 29.2 K: 485.33 D: 434.26 A: 149.05 FK: 51.51 FD: 44.8 Rnd: 1310,hannah,Disguised GC,"killjoy, cypher, viper",149.05,209.96,138.1,0.23,13.0,434.26,44.8,0.07,51.51,0.08,24.58,485.33,1.13,71.89,29.2,0.74,1.08,1310
Player Joliinaa from team GIANTX GC has the following stats: R2.0: 1.22 ACS: 234.69 K:D: 1.23 KAST: 76.06 ADR: 150.07 KPR: 0.82 APR: 0.44 FKPR: 0.09 FDPR: 0.06 HS%: 24.69 CL%: 20.96 KMax: 28.31 K: 918.38 D: 739.35 A: 516.37 FK: 94.47 FD: 62.84 Rnd: 2575,Joliinaa,GIANTX GC,"omen, jett, viper",516.37,234.69,150.07,0.44,20.96,739.35,62.84,0.06,94.47,0.09,24.69,918.38,1.23,76.06,28.31,0.82,1.22,2575
Player mimiFPS from team Team Mystic Venus has the following stats: R2.0: 1.17 ACS: 241.2 K:D: 1.2 KAST: 73.0 ADR: 158.0 KPR: 0.85 APR: 0.21 FKPR: 0.13 FDPR: 0.12 HS%: 28.0 CL%: 16.0 KMax: 31.0 K: 329.0 D: 275.0 A: 81.0 FK: 49.0 FD: 48.0 Rnd: 388,mimiFPS,Team Mystic Venus,"jett, chamber, kayo",81.0,241.2,158.0,0.21,16.0,275.0,48.0,0.12,49.0,0.13,28.0,329.0,1.2,73.0,31.0,0.85,1.17,388
Player avery from team oomfies has the following stats: R2.0: 1.04 ACS: 191.51 K:D: 1.0 KAST: 69.71 ADR: 126.78 KPR: 0.68 APR: 0.29 FKPR: 0.07 FDPR: 0.08 HS%: 23.31 CL%: 19.48 KMax: 22.15 K: 316.52 D: 319.14 A: 142.13 FK: 34.27 FD: 34.63 Rnd: 1403,avery,oomfies,"sova, astra, omen",142.13,191.51,126.78,0.29,19.48,319.14,34.63,0.08,34.27,0.07,23.31,316.52,1.0,69.71,22.15,0.68,1.04,1403
Player Brookelynn from team UWaterloo White has the following stats: R2.0: 1.15 ACS: 240.5 K:D: 1.2 KAST: 72.0 ADR: 148.4 KPR: 0.83 APR: 0.17 FKPR: 0.15 FDPR: 0.09 HS%: 18.0 CL%: 7.0 KMax: 36.0 K: 482.0 D: 401.0 A: 100.0 FK: 88.0 FD: 53.0 Rnd: 582,Brookelynn,UWaterloo White,"chamber, killjoy, breach",100.0,240.5,148.4,0.17,7.0,401.0,53.0,0.09,88.0,0.15,18.0,482.0,1.2,72.0,36.0,0.83,1.15,582
Player Festival from team Meteor has the following stats: R2.0: 1.15 ACS: 265.3 K:D: 1.15 KAST: 69.0 ADR: 168.9 KPR: 0.88 APR: 0.23 FKPR: 0.21 FDPR: 0.18 HS%: 26.0 CL%: 30.0 KMax: 28.0 K: 248.0 D: 215.0 A: 66.0 FK: 60.0 FD: 51.0 Rnd: 281,Festival,Meteor,"raze, jett, neon",66.0,265.3,168.9,0.23,30.0,215.0,51.0,0.18,60.0,0.21,26.0,248.0,1.15,69.0,28.0,0.88,1.15,281
Player Vania from team G2 Gozen has the following stats: R2.0: 1.28 ACS: 241.08 K:D: 1.38 KAST: 79.75 ADR: 153.45 KPR: 0.87 APR: 0.42 FKPR: 0.1 FDPR: 0.07 HS%: 31.82 CL%: 21.07 KMax: 29.82 K: 890.12 D: 643.56 A: 442.86 FK: 99.58 FD: 70.26 Rnd: 2574,Vania,G2 Gozen,"omen, viper, brimstone",442.86,241.08,153.45,0.42,21.07,643.56,70.26,0.07,99.58,0.1,31.82,890.12,1.38,79.75,29.82,0.87,1.28,2574
Player Lied from team FUSION X has the following stats: R2.0: 1.18 ACS: 244.15 K:D: 1.22 KAST: 73.14 ADR: 160.43 KPR: 0.85 APR: 0.29 FKPR: 0.16 FDPR: 0.12 HS%: 22.15 CL%: 21.57 KMax: 28.75 K: 584.5 D: 470.86 A: 172.21 FK: 122.72 FD: 87.71 Rnd: 1453,Lied,FUSION X,"raze, fade, sova",172.21,244.15,160.43,0.29,21.57,470.86,87.71,0.12,122.72,0.16,22.15,584.5,1.22,73.14,28.75,0.85,1.18,1453
Player Marti from team NASR Ignite has the following stats: R2.0: 1.02 ACS: 223.17 K:D: 1.01 KAST: 69.3 ADR: 145.31 KPR: 0.77 APR: 0.29 FKPR: 0.14 FDPR: 0.16 HS%: 24.92 CL%: 10.71 KMax: 32.36 K: 560.27 D: 559.98 A: 217.84 FK: 103.41 FD: 115.69 Rnd: 1859,Marti,NASR Ignite,"jett, skye, phoenix",217.84,223.17,145.31,0.29,10.71,559.98,115.69,0.16,103.41,0.14,24.92,560.27,1.01,69.3,32.36,0.77,1.02,1859
Player fReeze from team LUA Gaming has the following stats: R2.0: 0.94 ACS: 174.63 K:D: 0.9 KAST: 73.28 ADR: 110.8 KPR: 0.62 APR: 0.43 FKPR: 0.05 FDPR: 0.06 HS%: 26.72 CL%: 12.7 KMax: 23.26 K: 432.88 D: 512.26 A: 334.57 FK: 33.72 FD: 42.39 Rnd: 1263,fReeze,LUA Gaming,"breach, kayo, skye",334.57,174.63,110.8,0.43,12.7,512.26,42.39,0.06,33.72,0.05,26.72,432.88,0.9,73.28,23.26,0.62,0.94,1263
Player micaela from team KRÜ BLAZE has the following stats: R2.0: 1.1 ACS: 217.42 K:D: 1.17 KAST: 72.8 ADR: 141.95 KPR: 0.78 APR: 0.24 FKPR: 0.14 FDPR: 0.12 HS%: 29.61 CL%: 17.0 KMax: 26.73 K: 360.09 D: 307.36 A: 116.49 FK: 63.76 FD: 56.85 Rnd: 1377,micaela,KRÜ BLAZE,"raze, jett, chamber",116.49,217.42,141.95,0.24,17.0,307.36,56.85,0.12,63.76,0.14,29.61,360.09,1.17,72.8,26.73,0.78,1.1,1377
Player Mary from team Team Falcons Vega has the following stats: R2.0: 1.16 ACS: 257.72 K:D: 1.25 KAST: 71.28 ADR: 167.74 KPR: 0.9 APR: 0.2 FKPR: 0.19 FDPR: 0.15 HS%: 32.47 CL%: 17.52 KMax: 29.27 K: 503.66 D: 404.51 A: 113.17 FK: 107.84 FD: 87.59 Rnd: 1678,Mary,Team Falcons Vega,"raze, sova, jett",113.17,257.72,167.74,0.2,17.52,404.51,87.59,0.15,107.84,0.19,32.47,503.66,1.25,71.28,29.27,0.9,1.16,1678
Player didii from team MAD Lions KOI has the following stats: R2.0: 1.03 ACS: 207.18 K:D: 1.03 KAST: 71.37 ADR: 138.67 KPR: 0.73 APR: 0.31 FKPR: 0.11 FDPR: 0.09 HS%: 23.0 CL%: 17.17 KMax: 24.29 K: 434.92 D: 424.81 A: 184.3 FK: 65.39 FD: 53.94 Rnd: 1697,didii,MAD Lions KOI,"killjoy, breach, chamber",184.3,207.18,138.67,0.31,17.17,424.81,53.94,0.09,65.39,0.11,23.0,434.92,1.03,71.37,24.29,0.73,1.03,1697
Player HomE from team XSOUL GC has the following stats: R2.0: 1.0 ACS: 208.35 K:D: 0.99 KAST: 67.0 ADR: 132.51 KPR: 0.73 APR: 0.24 FKPR: 0.12 FDPR: 0.11 HS%: 25.95 CL%: 14.15 KMax: 24.2 K: 187.3 D: 188.73 A: 59.0 FK: 31.13 FD: 28.1 Rnd: 512,HomE,XSOUL GC,"chamber, breach, sage",59.0,208.35,132.51,0.24,14.15,188.73,28.1,0.11,31.13,0.12,25.95,187.3,0.99,67.0,24.2,0.73,1.0,512
Player edith from team YFP X has the following stats: R2.0: 1.12 ACS: 246.5 K:D: 1.16 KAST: 68.25 ADR: 160.43 KPR: 0.86 APR: 0.17 FKPR: 0.18 FDPR: 0.17 HS%: 24.69 CL%: 12.7 KMax: 29.3 K: 248.78 D: 215.22 A: 49.82 FK: 51.31 FD: 48.89 Rnd: 831,edith,YFP X,"raze, jett, chamber",49.82,246.5,160.43,0.17,12.7,215.22,48.89,0.17,51.31,0.18,24.69,248.78,1.16,68.25,29.3,0.86,1.12,831
Player Melzz from team Alliance Coven has the following stats: R2.0: 0.97 ACS: 194.53 K:D: 0.92 KAST: 70.01 ADR: 124.49 KPR: 0.67 APR: 0.35 FKPR: 0.09 FDPR: 0.1 HS%: 18.5 CL%: 16.75 KMax: 28.25 K: 333.61 D: 371.7 A: 188.26 FK: 48.31 FD: 52.58 Rnd: 821,Melzz,Alliance Coven,"killjoy, breach, skye",188.26,194.53,124.49,0.35,16.75,371.7,52.58,0.1,48.31,0.09,18.5,333.61,0.92,70.01,28.25,0.67,0.97,821
Player marceline from team YFP X has the following stats: R2.0: 1.0 ACS: 233.37 K:D: 1.03 KAST: 65.81 ADR: 151.53 KPR: 0.8 APR: 0.17 FKPR: 0.18 FDPR: 0.17 HS%: 25.79 CL%: 16.55 KMax: 32.08 K: 525.59 D: 501.72 A: 107.62 FK: 118.43 FD: 106.08 Rnd: 1743,marceline,YFP X,"raze, jett, reyna",107.62,233.37,151.53,0.17,16.55,501.72,106.08,0.17,118.43,0.18,25.79,525.59,1.03,65.81,32.08,0.8,1.0,1743
Player panday from team KS Hunters has the following stats: R2.0: 1.02 ACS: 203.09 K:D: 1.02 KAST: 71.76 ADR: 135.13 KPR: 0.72 APR: 0.28 FKPR: 0.09 FDPR: 0.08 HS%: 27.86 CL%: 15.91 KMax: 25.64 K: 518.37 D: 501.6 A: 207.51 FK: 60.97 FD: 55.52 Rnd: 1935,panday,KS Hunters,"cypher, killjoy, omen",207.51,203.09,135.13,0.28,15.91,501.6,55.52,0.08,60.97,0.09,27.86,518.37,1.02,71.76,25.64,0.72,1.02,1935
Player Japips from team Asmodeus Colosseum GC has the following stats: R2.0: 1.03 ACS: 192.98 K:D: 1.01 KAST: 73.92 ADR: 126.0 KPR: 0.69 APR: 0.34 FKPR: 0.05 FDPR: 0.07 HS%: 26.46 CL%: 13.08 KMax: 24.27 K: 810.29 D: 810.25 A: 427.51 FK: 64.34 FD: 80.68 Rnd: 1960,Japips,Asmodeus Colosseum GC,"sova, breach, reyna",427.51,192.98,126.0,0.34,13.08,810.25,80.68,0.07,64.34,0.05,26.46,810.29,1.01,73.92,24.27,0.69,1.03,1960
Player m4ndzin from team LOUD GC has the following stats: R2.0: 1.1 ACS: 219.7 K:D: 1.05 KAST: 73.3 ADR: 143.79 KPR: 0.75 APR: 0.43 FKPR: 0.08 FDPR: 0.09 HS%: 22.64 CL%: 22.3 KMax: 28.25 K: 565.96 D: 539.34 A: 327.12 FK: 58.44 FD: 66.15 Rnd: 2000,m4ndzin,LOUD GC,"omen, kayo, breach",327.12,219.7,143.79,0.43,22.3,539.34,66.15,0.09,58.44,0.08,22.64,565.96,1.05,73.3,28.25,0.75,1.1,2000
Player bunnybee from team floppers has the following stats: R2.0: 1.03 ACS: 240.85 K:D: 1.07 KAST: 68.36 ADR: 154.01 KPR: 0.82 APR: 0.22 FKPR: 0.2 FDPR: 0.16 HS%: 25.55 CL%: 16.6 KMax: 33.0 K: 812.69 D: 738.77 A: 205.66 FK: 194.67 FD: 153.44 Rnd: 2240,bunnybee,floppers,"raze, jett, kayo",205.66,240.85,154.01,0.22,16.6,738.77,153.44,0.16,194.67,0.2,25.55,812.69,1.07,68.36,33.0,0.82,1.03,2240
Player nabbsky from team RRQ Kaguya has the following stats: R2.0: 1.04 ACS: 197.74 K:D: 1.08 KAST: 73.32 ADR: 131.89 KPR: 0.71 APR: 0.27 FKPR: 0.08 FDPR: 0.08 HS%: 20.0 CL%: 17.57 KMax: 30.75 K: 831.37 D: 771.8 A: 324.11 FK: 92.18 FD: 88.86 Rnd: 2344,nabbsky,RRQ Kaguya,"killjoy, fade, chamber",324.11,197.74,131.89,0.27,17.57,771.8,88.86,0.08,92.18,0.08,20.0,831.37,1.08,73.32,30.75,0.71,1.04,2344
Player antG from team LOUD GC has the following stats: R2.0: 1.1 ACS: 216.04 K:D: 1.1 KAST: 75.8 ADR: 136.11 KPR: 0.78 APR: 0.35 FKPR: 0.09 FDPR: 0.08 HS%: 26.39 CL%: 9.8 KMax: 30.38 K: 679.23 D: 621.98 A: 294.46 FK: 77.16 FD: 75.48 Rnd: 2207,antG,LOUD GC,"skye, kayo, raze",294.46,216.04,136.11,0.35,9.8,621.98,75.48,0.08,77.16,0.09,26.39,679.23,1.1,75.8,30.38,0.78,1.1,2207
