agents,games,rounds,rating,acs,k/d,adr,kast,kpr,apr,fkpr,fdpr,kills,deaths,assists,first bloods,first deaths,Player Name,URL
skye,(51) 13%,1028,1.06,194.3,1.09,124.2,73%,0.70,0.33,0.07,0.05,722,665,336,68,48,JinNy,https://www.vlr.gg/player/1909/jinny?timespan=all
,,,,,,,,,,,,,,,,,Danah,https://www.vlr.gg/player/11906/danah?timespan=all
raze,(78) 30%,1558,1.17,260.9,1.20,168.9,75%,0.86,0.27,0.20,0.14,1345,1121,420,309,225,Danah,https://www.vlr.gg/player/11906/danah?timespan=all
sova,(43) 17%,865,1.06,202.9,1.07,138.6,74%,0.71,0.34,0.08,0.08,611,573,292,66,70,Danah,https://www.vlr.gg/player/11906/danah?timespan=all
skye,(33) 13%,644,1.02,201.0,1.07,129.9,75%,0.72,0.42,0.09,0.09,463,432,269,58,56,Danah,https://www.vlr.gg/player/11906/danah?timespan=all
,,,,,,,,,,,,,,,,,sayuri,https://www.vlr.gg/player/11239/sayuri?timespan=all
omen,(83) 24%,1669,1.10,196.0,1.08,123.6,78%,0.68,0.52,0.07,0.08,1133,1049,871,120,128,sayuri,https://www.vlr.gg/player/11239/sayuri?timespan=all
sova,(64) 18%,1217,1.19,223.2,1.24,145.0,81%,0.76,0.37,0.06,0.05,931,750,451,70,59,sayuri,https://www.vlr.gg/player/11239/sayuri?timespan=all
brimstone,(48) 14%,936,1.16,211.5,1.12,135.9,80%,0.69,0.59,0.07,0.06,648,581,549,61,57,sayuri,https://www.vlr.gg/player/11239/sayuri?timespan=all
,,,,,,,,,,,,,,,,,heist,https://www.vlr.gg/player/25224/heist?timespan=all
jett,(22) 21%,417,0.97,226.2,1.03,141.3,70%,0.78,0.18,0.21,0.20,327,319,74,88,82,heist,https://www.vlr.gg/player/25224/heist?timespan=all
omen,(19) 18%,421,0.86,155.7,0.77,106.2,68%,0.56,0.28,0.05,0.08,234,302,119,21,34,heist,https://www.vlr.gg/player/25224/heist?timespan=all
viper,(13) 12%,280,0.93,167.9,0.89,106.8,74%,0.58,0.31,0.04,0.07,163,184,88,11,20,heist,https://www.vlr.gg/player/25224/heist?timespan=all
,,,,,,,,,,,,,,,,,madv,https://www.vlr.gg/player/29903/madv?timespan=all
breach,(80) 36%,1699,1.18,224.0,1.24,142.9,77%,0.80,0.44,0.08,0.08,1361,1102,743,133,141,madv,https://www.vlr.gg/player/29903/madv?timespan=all
kayo,(41) 19%,830,1.24,235.0,1.26,147.8,77%,0.83,0.48,0.11,0.09,690,548,398,89,71,madv,https://www.vlr.gg/player/29903/madv?timespan=all
omen,(23) 10%,453,1.22,224.5,1.32,139.2,75%,0.80,0.41,0.10,0.08,364,276,186,47,38,madv,https://www.vlr.gg/player/29903/madv?timespan=all
,,,,,,,,,,,,,,,,,safiaa,https://www.vlr.gg/player/39057/safiaa?timespan=all
killjoy,(26) 26%,547,1.13,208.7,1.20,144.8,74%,0.75,0.16,0.09,0.08,411,343,88,48,44,safiaa,https://www.vlr.gg/player/39057/safiaa?timespan=all
cypher,(19) 19%,413,1.11,204.6,1.13,143.0,70%,0.75,0.25,0.07,0.07,310,274,102,29,27,safiaa,https://www.vlr.gg/player/39057/safiaa?timespan=all
omen,(11) 11%,224,1.03,193.6,0.98,130.6,73%,0.70,0.36,0.07,0.05,156,160,81,15,11,safiaa,https://www.vlr.gg/player/39057/safiaa?timespan=all
,,,,,,,,,,,,,,,,,micaela,https://www.vlr.gg/player/21558/micaela?timespan=all
raze,(42) 29%,816,1.15,242.4,1.23,162.9,74%,0.83,0.20,0.16,0.14,676,548,165,133,113,micaela,https://www.vlr.gg/player/21558/micaela?timespan=all
jett,(38) 26%,773,1.24,249.1,1.39,159.6,73%,0.91,0.14,0.20,0.14,703,506,107,151,109,micaela,https://www.vlr.gg/player/21558/micaela?timespan=all
chamber,(24) 17%,492,1.26,260.6,1.33,165.0,73%,0.93,0.14,0.21,0.09,460,347,68,105,43,micaela,https://www.vlr.gg/player/21558/micaela?timespan=all
,,,,,,,,,,,,,,,,,ZIDIAN,https://www.vlr.gg/player/35830/zidian?timespan=all
raze,(19) 33%,393,1.26,257.5,1.32,168.5,79%,0.91,0.27,0.12,0.14,359,271,106,49,55,ZIDIAN,https://www.vlr.gg/player/35830/zidian?timespan=all
phoenix,(13) 22%,253,1.20,241.9,1.14,161.8,79%,0.82,0.39,0.10,0.13,208,183,99,26,32,ZIDIAN,https://www.vlr.gg/player/35830/zidian?timespan=all
jett,(8) 14%,150,0.92,202.4,0.90,132.2,69%,0.68,0.21,0.18,0.14,102,113,31,27,21,ZIDIAN,https://www.vlr.gg/player/35830/zidian?timespan=all
,,,,,,,,,,,,,,,,,nmutuA,https://www.vlr.gg/player/17979/nmutua?timespan=all
sova,(137) 49%,2742,0.94,171.8,0.89,117.1,72%,0.60,0.32,0.06,0.06,1632,1824,864,151,173,nmutuA,https://www.vlr.gg/player/17979/nmutua?timespan=all
fade,(41) 15%,851,0.92,160.4,0.86,102.7,74%,0.56,0.37,0.05,0.05,473,549,312,40,43,nmutuA,https://www.vlr.gg/player/17979/nmutua?timespan=all
sage,(25) 9%,508,0.91,162.2,0.87,108.3,72%,0.59,0.32,0.07,0.10,298,343,162,37,52,nmutuA,https://www.vlr.gg/player/17979/nmutua?timespan=all
,,,,,,,,,,,,,,,,,piano,https://www.vlr.gg/player/24150/piano?timespan=all
