agents,games,rounds,rating,acs,k/d,adr,kast,kpr,apr,fkpr,fdpr,kills,deaths,assists,first bloods,first deaths,Player Name,URL
,,,,,,,,,,,,,,,,,Atisca,https://www.vlr.gg/player/44500/atisca?timespan=all
jett,(50) 85%,1014,1.06,223.2,1.13,147.7,70%,0.82,0.14,0.17,0.13,834,739,143,177,128,Atisca,https://www.vlr.gg/player/44500/atisca?timespan=all
raze,(3) 5%,62,0.88,198.0,0.90,140.5,77%,0.71,0.21,0.18,0.15,44,49,13,11,9,Atisca,https://www.vlr.gg/player/44500/atisca?timespan=all
neon,(3) 5%,60,0.72,166.7,0.71,115.4,62%,0.60,0.13,0.10,0.18,36,51,8,6,11,Atisca,https://www.vlr.gg/player/44500/atisca?timespan=all
,,,,,,,,,,,,,,,,,strahlen,https://www.vlr.gg/player/28686/strahlen?timespan=all
omen,(33) 52%,718,1.10,212.9,1.11,133.0,76%,0.73,0.44,0.09,0.08,525,474,313,65,61,strahlen,https://www.vlr.gg/player/28686/strahlen?timespan=all
brimstone,(7) 11%,154,1.28,259.1,1.33,162.9,78%,0.87,0.43,0.14,0.08,134,101,66,21,12,strahlen,https://www.vlr.gg/player/28686/strahlen?timespan=all
killjoy,(6) 10%,127,1.22,236.7,1.27,157.3,73%,0.84,0.17,0.03,0.07,107,84,22,4,9,strahlen,https://www.vlr.gg/player/28686/strahlen?timespan=all
,,,,,,,,,,,,,,,,,BIBI,https://www.vlr.gg/player/40423/bibi?timespan=all
raze,(13) 27%,268,1.18,260.8,1.28,174.2,74%,0.87,0.24,0.25,0.20,232,181,64,66,54,BIBI,https://www.vlr.gg/player/40423/bibi?timespan=all
jett,(10) 21%,200,1.14,245.6,1.23,163.1,69%,0.85,0.19,0.20,0.22,170,138,38,39,44,BIBI,https://www.vlr.gg/player/40423/bibi?timespan=all
viper,(7) 15%,133,1.44,252.6,1.75,166.5,83%,0.91,0.38,0.15,0.09,121,69,51,20,12,BIBI,https://www.vlr.gg/player/40423/bibi?timespan=all
,,,,,,,,,,,,,,,,,BAiLA,https://www.vlr.gg/player/19396/baila?timespan=all
killjoy,(42) 75%,852,0.88,173.0,0.87,118.5,68%,0.60,0.16,0.07,0.07,510,585,134,59,63,BAiLA,https://www.vlr.gg/player/19396/baila?timespan=all
jett,(7) 13%,140,0.99,219.4,0.91,147.7,66%,0.73,0.21,0.16,0.14,102,112,30,23,20,BAiLA,https://www.vlr.gg/player/19396/baila?timespan=all
raze,(3) 5%,58,1.05,228.0,1.00,167.7,74%,0.78,0.24,0.12,0.17,45,45,14,7,10,BAiLA,https://www.vlr.gg/player/19396/baila?timespan=all
,,,,,,,,,,,,,,,,,ness,https://www.vlr.gg/player/17343/ness?timespan=all
jett,(101) 30%,2017,1.38,286.1,1.61,175.9,76%,1.02,0.15,0.20,0.10,2049,1273,312,412,202,ness,https://www.vlr.gg/player/17343/ness?timespan=all
killjoy,(42) 13%,867,1.06,211.7,1.11,143.6,73%,0.74,0.19,0.10,0.09,644,582,162,85,77,ness,https://www.vlr.gg/player/17343/ness?timespan=all
viper,(38) 11%,764,1.20,227.6,1.30,154.7,75%,0.79,0.29,0.10,0.08,607,466,225,78,61,ness,https://www.vlr.gg/player/17343/ness?timespan=all
,,,,,,,,,,,,,,,,,keenc,https://www.vlr.gg/player/21265/keenc?timespan=all
jett,(63) 37%,1226,1.52,319.6,1.84,192.3,81%,1.14,0.17,0.24,0.08,1402,761,212,296,104,keenc,https://www.vlr.gg/player/21265/keenc?timespan=all
chamber,(56) 33%,1054,1.47,300.3,1.79,185.6,81%,1.09,0.18,0.22,0.09,1152,645,194,227,93,keenc,https://www.vlr.gg/player/21265/keenc?timespan=all
raze,(24) 14%,512,1.26,277.0,1.29,181.0,77%,0.92,0.29,0.16,0.12,471,365,146,82,60,keenc,https://www.vlr.gg/player/21265/keenc?timespan=all
,,,,,,,,,,,,,,,,,aluvily,https://www.vlr.gg/player/37901/aluvily?timespan=all
killjoy,(66) 36%,1348,1.15,243.3,1.23,165.5,76%,0.84,0.20,0.11,0.08,1130,917,270,144,107,aluvily,https://www.vlr.gg/player/37901/aluvily?timespan=all
cypher,(42) 23%,791,1.11,222.1,1.20,148.7,74%,0.81,0.21,0.11,0.08,637,533,164,85,62,aluvily,https://www.vlr.gg/player/37901/aluvily?timespan=all
gekko,(14) 8%,259,1.01,193.6,1.05,135.2,80%,0.70,0.27,0.07,0.07,181,173,70,18,17,aluvily,https://www.vlr.gg/player/37901/aluvily?timespan=all
,,,,,,,,,,,,,,,,,PIETY,https://www.vlr.gg/player/26069/piety?timespan=all
killjoy,(27) 18%,493,1.21,235.2,1.34,160.6,75%,0.84,0.18,0.12,0.05,416,310,88,58,23,PIETY,https://www.vlr.gg/player/26069/piety?timespan=all
omen,(22) 15%,461,1.28,223.2,1.38,145.3,82%,0.83,0.54,0.06,0.06,383,278,249,28,29,PIETY,https://www.vlr.gg/player/26069/piety?timespan=all
sova,(22) 15%,418,1.24,236.5,1.37,156.0,78%,0.83,0.33,0.06,0.07,349,254,137,26,28,PIETY,https://www.vlr.gg/player/26069/piety?timespan=all
,,,,,,,,,,,,,,,,,Mile,https://www.vlr.gg/player/26267/mile?timespan=all
skye,(28) 36%,553,0.99,177.3,0.97,110.5,74%,0.61,0.38,0.07,0.05,336,347,209,36,27,Mile,https://www.vlr.gg/player/26267/mile?timespan=all
sova,(25) 32%,508,0.96,178.4,0.87,121.8,69%,0.62,0.29,0.05,0.08,316,364,146,27,39,Mile,https://www.vlr.gg/player/26267/mile?timespan=all
fade,(16) 21%,343,0.84,163.0,0.80,106.0,69%,0.58,0.34,0.03,0.05,199,248,117,11,18,Mile,https://www.vlr.gg/player/26267/mile?timespan=all
,,,,,,,,,,,,,,,,,shaz,https://www.vlr.gg/player/25772/shaz?timespan=all
omen,(28) 44%,578,1.01,198.4,0.99,127.5,72%,0.69,0.37,0.06,0.08,397,403,211,37,49,shaz,https://www.vlr.gg/player/25772/shaz?timespan=all
astra,(12) 19%,273,1.02,199.8,1.03,125.9,68%,0.71,0.28,0.07,0.11,193,187,77,20,29,shaz,https://www.vlr.gg/player/25772/shaz?timespan=all
harbor,(10) 16%,204,0.96,182.2,0.93,117.2,70%,0.65,0.33,0.07,0.06,132,142,68,15,13,shaz,https://www.vlr.gg/player/25772/shaz?timespan=all
,,,,,,,,,,,,,,,,,ShreyUwU,https://www.vlr.gg/player/16643/shreyuwu?timespan=all
viper,(50) 29%,975,0.94,200.8,0.93,133.3,69%,0.69,0.23,0.11,0.10,671,721,227,105,102,ShreyUwU,https://www.vlr.gg/player/16643/shreyuwu?timespan=all
skye,(26) 15%,512,0.88,175.8,0.83,113.6,67%,0.61,0.40,0.06,0.09,313,379,205,31,48,ShreyUwU,https://www.vlr.gg/player/16643/shreyuwu?timespan=all
kayo,(19) 11%,371,0.98,201.5,0.88,130.4,73%,0.67,0.46,0.09,0.09,249,283,172,32,35,ShreyUwU,https://www.vlr.gg/player/16643/shreyuwu?timespan=all
,,,,,,,,,,,,,,,,,tayhihi,https://www.vlr.gg/player/19699/tayhihi?timespan=all
skye,(13) 32%,264,0.93,163.8,0.88,105.4,76%,0.57,0.28,0.07,0.09,150,170,74,18,25,tayhihi,https://www.vlr.gg/player/19699/tayhihi?timespan=all
sage,(7) 17%,130,1.01,167.7,0.96,104.8,78%,0.59,0.45,0.10,0.08,77,80,59,13,11,tayhihi,https://www.vlr.gg/player/19699/tayhihi?timespan=all
killjoy,(5) 12%,86,0.85,196.0,0.67,132.1,65%,0.57,0.27,0.12,0.09,49,73,23,10,8,tayhihi,https://www.vlr.gg/player/19699/tayhihi?timespan=all
,,,,,,,,,,,,,,,,,Pretzel,https://www.vlr.gg/player/39982/pretzel?timespan=all
jett,(16) 24%,336,0.88,200.0,0.92,134.1,67%,0.68,0.18,0.15,0.18,229,249,59,50,59,Pretzel,https://www.vlr.gg/player/39982/pretzel?timespan=all
raze,(12) 18%,252,1.11,248.7,1.08,171.0,72%,0.83,0.25,0.21,0.14,208,193,64,52,35,Pretzel,https://www.vlr.gg/player/39982/pretzel?timespan=all
killjoy,(12) 18%,230,1.09,225.7,1.13,146.4,72%,0.78,0.22,0.12,0.13,180,159,51,28,29,Pretzel,https://www.vlr.gg/player/39982/pretzel?timespan=all
,,,,,,,,,,,,,,,,,Ivory,https://www.vlr.gg/player/16015/ivory?timespan=all
killjoy,(68) 35%,1337,1.05,222.1,1.13,144.8,75%,0.75,0.21,0.13,0.10,1007,894,285,170,132,Ivory,https://www.vlr.gg/player/16015/ivory?timespan=all
omen,(24) 12%,474,0.98,198.9,1.05,120.2,75%,0.72,0.28,0.07,0.09,341,326,133,33,41,Ivory,https://www.vlr.gg/player/16015/ivory?timespan=all
viper,(17) 9%,357,1.13,215.6,1.18,135.6,75%,0.75,0.32,0.10,0.08,266,226,115,35,28,Ivory,https://www.vlr.gg/player/16015/ivory?timespan=all
,,,,,,,,,,,,,,,,,hindberjum,https://www.vlr.gg/player/11180/hindberjum?timespan=all
sova,(43) 41%,908,0.97,186.5,0.87,128.0,72%,0.61,0.34,0.08,0.06,552,632,312,73,55,hindberjum,https://www.vlr.gg/player/11180/hindberjum?timespan=all
raze,(20) 19%,421,1.06,234.9,1.03,158.5,68%,0.78,0.22,0.15,0.15,327,319,92,65,63,hindberjum,https://www.vlr.gg/player/11180/hindberjum?timespan=all
jett,(11) 10%,216,0.93,215.5,1.04,138.2,65%,0.78,0.12,0.18,0.19,168,161,26,38,42,hindberjum,https://www.vlr.gg/player/11180/hindberjum?timespan=all
,,,,,,,,,,,,,,,,,Shockah,https://www.vlr.gg/player/14726/shockah?timespan=all
sova,(86) 61%,1724,0.97,187.1,0.94,126.7,74%,0.62,0.29,0.07,0.08,1076,1140,505,118,132,Shockah,https://www.vlr.gg/player/14726/shockah?timespan=all
chamber,(11) 8%,213,1.04,206.7,1.15,130.2,73%,0.72,0.16,0.13,0.08,154,134,35,28,18,Shockah,https://www.vlr.gg/player/14726/shockah?timespan=all
jett,(11) 8%,206,1.05,226.1,1.04,143.1,68%,0.78,0.18,0.13,0.13,161,155,37,27,27,Shockah,https://www.vlr.gg/player/14726/shockah?timespan=all
,,,,,,,,,,,,,,,,,Jia,https://www.vlr.gg/player/20570/jia?timespan=all
jett,(26) 22%,554,1.15,235.8,1.22,155.0,72%,0.88,0.21,0.18,0.16,485,396,119,101,89,Jia,https://www.vlr.gg/player/20570/jia?timespan=all
skye,(25) 21%,460,1.23,242.6,1.26,157.9,77%,0.84,0.42,0.10,0.09,388,309,192,47,41,Jia,https://www.vlr.gg/player/20570/jia?timespan=all
sova,(23) 19%,473,1.23,236.2,1.23,159.9,75%,0.79,0.40,0.08,0.06,374,303,187,37,29,Jia,https://www.vlr.gg/player/20570/jia?timespan=all
,,,,,,,,,,,,,,,,,itnothan,https://www.vlr.gg/player/11947/itnothan?timespan=all
sova,(80) 27%,1611,1.21,215.5,1.27,140.0,78%,0.75,0.38,0.07,0.05,1207,947,609,112,81,itnothan,https://www.vlr.gg/player/11947/itnothan?timespan=all
breach,(54) 18%,1099,1.04,182.8,1.05,120.7,75%,0.67,0.32,0.05,0.05,732,700,356,54,54,itnothan,https://www.vlr.gg/player/11947/itnothan?timespan=all
sage,(48) 16%,917,1.05,197.7,1.07,125.0,75%,0.70,0.39,0.09,0.07,640,599,356,83,63,itnothan,https://www.vlr.gg/player/11947/itnothan?timespan=all
,,,,,,,,,,,,,,,,,blue,https://www.vlr.gg/player/41926/blue?timespan=all
cypher,(30) 68%,581,1.09,203.6,1.21,135.1,73%,0.75,0.20,0.09,0.11,436,359,117,54,62,blue,https://www.vlr.gg/player/41926/blue?timespan=all
killjoy,(6) 14%,123,0.92,162.2,0.92,111.6,70%,0.57,0.15,0.08,0.10,70,76,18,10,12,blue,https://www.vlr.gg/player/41926/blue?timespan=all
omen,(3) 7%,62,1.63,299.0,2.03,189.7,85%,1.11,0.47,0.11,0.02,69,34,29,7,1,blue,https://www.vlr.gg/player/41926/blue?timespan=all
,,,,,,,,,,,,,,,,,eluwu,https://www.vlr.gg/player/19962/eluwu?timespan=all
jett,(59) 58%,1200,1.23,272.8,1.35,171.8,73%,0.96,0.16,0.26,0.15,1152,853,196,309,176,eluwu,https://www.vlr.gg/player/19962/eluwu?timespan=all
raze,(21) 21%,406,1.25,264.9,1.39,172.6,78%,0.91,0.23,0.18,0.14,368,265,93,74,55,eluwu,https://www.vlr.gg/player/19962/eluwu?timespan=all
viper,(5) 5%,100,1.06,224.4,1.01,141.6,70%,0.73,0.36,0.17,0.13,73,72,36,17,13,eluwu,https://www.vlr.gg/player/19962/eluwu?timespan=all
,,,,,,,,,,,,,,,,,jid,https://www.vlr.gg/player/44190/jid?timespan=all
omen,(15) 28%,310,1.18,231.2,1.20,152.2,77%,0.84,0.39,0.08,0.08,259,216,122,26,26,jid,https://www.vlr.gg/player/44190/jid?timespan=all
gekko,(10) 19%,188,1.32,219.7,1.33,149.3,77%,0.82,0.34,0.04,0.03,154,116,63,7,6,jid,https://www.vlr.gg/player/44190/jid?timespan=all
viper,(7) 13%,138,1.12,214.4,1.19,147.1,76%,0.77,0.25,0.07,0.12,106,89,35,10,16,jid,https://www.vlr.gg/player/44190/jid?timespan=all
,,,,,,,,,,,,,,,,,Nami,https://www.vlr.gg/player/30186/nami?timespan=all
omen,(84) 55%,1752,1.10,218.0,1.13,135.2,76%,0.78,0.42,0.08,0.07,1371,1214,743,138,126,Nami,https://www.vlr.gg/player/30186/nami?timespan=all
astra,(21) 14%,425,1.10,211.8,1.18,140.5,76%,0.80,0.33,0.07,0.09,342,290,140,31,37,Nami,https://www.vlr.gg/player/30186/nami?timespan=all
viper,(20) 13%,436,1.05,215.0,1.07,138.3,71%,0.77,0.27,0.10,0.11,336,314,119,44,46,Nami,https://www.vlr.gg/player/30186/nami?timespan=all
,,,,,,,,,,,,,,,,,Nury,https://www.vlr.gg/player/20517/nury?timespan=all
breach,(8) 21%,154,1.10,181.0,1.04,119.7,74%,0.68,0.46,0.05,0.09,105,101,71,8,14,Nury,https://www.vlr.gg/player/20517/nury?timespan=all
kayo,(7) 18%,133,1.08,218.1,1.06,144.4,79%,0.76,0.46,0.11,0.08,101,95,61,14,11,Nury,https://www.vlr.gg/player/20517/nury?timespan=all
gekko,(6) 16%,138,0.99,182.7,0.88,125.0,64%,0.67,0.27,0.07,0.07,92,105,37,9,9,Nury,https://www.vlr.gg/player/20517/nury?timespan=all
,,,,,,,,,,,,,,,,,bittersweet,https://www.vlr.gg/player/36804/bittersweet?timespan=all
omen,(52) 62%,1092,1.08,185.9,1.07,121.2,77%,0.66,0.47,0.06,0.03,724,678,509,63,35,bittersweet,https://www.vlr.gg/player/36804/bittersweet?timespan=all
brimstone,(18) 21%,350,1.10,189.6,1.06,125.6,76%,0.68,0.48,0.06,0.04,238,224,169,20,13,bittersweet,https://www.vlr.gg/player/36804/bittersweet?timespan=all
astra,(8) 10%,146,1.15,170.4,1.08,118.1,73%,0.64,0.44,0.04,0.03,93,86,64,6,4,bittersweet,https://www.vlr.gg/player/36804/bittersweet?timespan=all
,,,,,,,,,,,,,,,,,332,https://www.vlr.gg/player/40410/332?timespan=all
killjoy,(9) 20%,185,1.13,222.0,1.26,150.3,70%,0.81,0.12,0.11,0.11,150,119,22,20,20,332,https://www.vlr.gg/player/40410/332?timespan=all
sova,(7) 16%,131,1.00,176.6,1.01,124.6,77%,0.57,0.42,0.05,0.07,75,74,55,7,9,332,https://www.vlr.gg/player/40410/332?timespan=all
fade,(6) 14%,119,1.35,227.3,1.61,146.8,84%,0.84,0.41,0.06,0.04,100,62,49,7,5,332,https://www.vlr.gg/player/40410/332?timespan=all
,,,,,,,,,,,,,,,,,unfeel,https://www.vlr.gg/player/40351/unfeel?timespan=all
gekko,(19) 28%,388,0.78,140.0,0.72,96.4,70%,0.51,0.29,0.05,0.08,196,273,114,19,30,unfeel,https://www.vlr.gg/player/40351/unfeel?timespan=all
raze,(15) 22%,306,0.72,164.5,0.71,111.9,67%,0.55,0.11,0.07,0.13,169,238,35,22,40,unfeel,https://www.vlr.gg/player/40351/unfeel?timespan=all
sova,(15) 22%,304,0.77,128.1,0.69,91.8,66%,0.44,0.24,0.03,0.08,133,193,74,10,24,unfeel,https://www.vlr.gg/player/40351/unfeel?timespan=all
,,,,,,,,,,,,,,,,,Valentine,https://www.vlr.gg/player/19935/valentine?timespan=all
sova,(23) 29%,484,0.97,198.4,0.92,132.0,71%,0.67,0.33,0.09,0.08,323,352,159,45,37,Valentine,https://www.vlr.gg/player/19935/valentine?timespan=all
jett,(22) 28%,403,1.07,234.6,1.18,145.5,68%,0.82,0.13,0.18,0.13,331,281,51,71,51,Valentine,https://www.vlr.gg/player/19935/valentine?timespan=all
chamber,(13) 17%,276,0.94,191.4,0.96,128.5,66%,0.67,0.16,0.16,0.12,184,192,45,45,33,Valentine,https://www.vlr.gg/player/19935/valentine?timespan=all
,,,,,,,,,,,,,,,,,Lendary,https://www.vlr.gg/player/37115/lendary?timespan=all
omen,(10) 21%,191,0.91,185.7,0.91,115.7,71%,0.69,0.28,0.10,0.09,131,144,54,19,18,Lendary,https://www.vlr.gg/player/37115/lendary?timespan=all
neon,(8) 17%,162,0.77,188.5,0.80,125.2,68%,0.64,0.26,0.14,0.22,104,130,42,23,36,Lendary,https://www.vlr.gg/player/37115/lendary?timespan=all
sova,(8) 17%,151,1.08,192.1,1.21,129.1,71%,0.73,0.20,0.05,0.05,110,91,30,8,8,Lendary,https://www.vlr.gg/player/37115/lendary?timespan=all
,,,,,,,,,,,,,,,,,DEXA,https://www.vlr.gg/player/25394/dexa?timespan=all
omen,(13) 33%,267,0.99,201.5,0.95,126.6,68%,0.68,0.49,0.09,0.09,182,192,132,24,24,DEXA,https://www.vlr.gg/player/25394/dexa?timespan=all
viper,(10) 25%,228,1.16,241.5,1.18,163.6,73%,0.80,0.30,0.15,0.11,182,154,69,34,25,DEXA,https://www.vlr.gg/player/25394/dexa?timespan=all
sova,(10) 25%,210,0.99,177.6,1.01,119.9,72%,0.65,0.27,0.06,0.03,136,134,56,13,7,DEXA,https://www.vlr.gg/player/25394/dexa?timespan=all
,,,,,,,,,,,,,,,,,isa1,https://www.vlr.gg/player/11256/isa1?timespan=all
jett,(162) 50%,3276,1.13,241.7,1.23,148.7,72%,0.85,0.18,0.19,0.15,2769,2255,579,631,506,isa1,https://www.vlr.gg/player/11256/isa1?timespan=all
raze,(49) 15%,1015,1.05,238.0,1.09,154.0,72%,0.79,0.26,0.14,0.16,798,729,259,146,166,isa1,https://www.vlr.gg/player/11256/isa1?timespan=all
chamber,(48) 15%,941,1.24,253.1,1.40,157.6,76%,0.89,0.17,0.16,0.09,834,597,161,148,85,isa1,https://www.vlr.gg/player/11256/isa1?timespan=all
,,,,,,,,,,,,,,,,,mandy,https://www.vlr.gg/player/24764/mandy?timespan=all
jett,(31) 19%,642,1.23,287.3,1.31,180.8,68%,0.99,0.16,0.23,0.16,635,486,100,148,105,mandy,https://www.vlr.gg/player/24764/mandy?timespan=all
breach,(21) 13%,435,1.03,202.6,1.02,132.0,74%,0.72,0.47,0.07,0.08,312,305,204,29,35,mandy,https://www.vlr.gg/player/24764/mandy?timespan=all
kayo,(19) 12%,388,1.07,230.3,1.04,144.6,71%,0.77,0.47,0.13,0.14,299,288,182,50,53,mandy,https://www.vlr.gg/player/24764/mandy?timespan=all
,,,,,,,,,,,,,,,,,Saikiwi,https://www.vlr.gg/player/35867/saikiwi?timespan=all
omen,(38) 36%,793,0.97,192.6,0.94,129.3,73%,0.69,0.35,0.10,0.09,548,580,274,76,71,Saikiwi,https://www.vlr.gg/player/35867/saikiwi?timespan=all
jett,(30) 28%,583,1.08,246.3,1.13,161.7,71%,0.86,0.16,0.22,0.17,499,441,95,126,100,Saikiwi,https://www.vlr.gg/player/35867/saikiwi?timespan=all
viper,(19) 18%,404,1.14,242.1,1.23,155.6,69%,0.83,0.22,0.14,0.12,336,274,90,58,50,Saikiwi,https://www.vlr.gg/player/35867/saikiwi?timespan=all
,,,,,,,,,,,,,,,,,DelBisky,https://www.vlr.gg/player/17503/delbisky?timespan=all
jett,(54) 36%,1069,1.16,248.0,1.29,154.1,72%,0.88,0.14,0.19,0.14,946,734,155,202,153,DelBisky,https://www.vlr.gg/player/17503/delbisky?timespan=all
raze,(36) 24%,715,1.07,231.1,1.08,147.7,72%,0.78,0.20,0.13,0.12,556,517,142,93,89,DelBisky,https://www.vlr.gg/player/17503/delbisky?timespan=all
chamber,(13) 9%,251,1.27,252.5,1.41,164.1,75%,0.93,0.16,0.15,0.11,233,165,40,37,28,DelBisky,https://www.vlr.gg/player/17503/delbisky?timespan=all
,,,,,,,,,,,,,,,,,Maddie,https://www.vlr.gg/player/11956/maddie?timespan=all
jett,(102) 42%,2008,1.08,245.6,1.12,153.8,73%,0.85,0.20,0.19,0.15,1710,1521,403,385,300,Maddie,https://www.vlr.gg/player/11956/maddie?timespan=all
raze,(32) 13%,632,0.91,214.6,0.92,141.1,71%,0.72,0.21,0.12,0.16,456,498,130,78,98,Maddie,https://www.vlr.gg/player/11956/maddie?timespan=all
breach,(24) 10%,451,0.96,175.5,0.94,114.2,76%,0.64,0.39,0.07,0.04,288,306,174,31,20,Maddie,https://www.vlr.gg/player/11956/maddie?timespan=all
,,,,,,,,,,,,,,,,,gabiTê,https://www.vlr.gg/player/11244/gabit?timespan=all
omen,(71) 37%,1435,1.08,205.1,1.10,131.0,75%,0.73,0.38,0.08,0.07,1047,954,541,120,102,gabiTê,https://www.vlr.gg/player/11244/gabit?timespan=all
viper,(42) 22%,835,1.01,198.7,0.99,128.2,72%,0.69,0.29,0.08,0.08,574,579,238,64,69,gabiTê,https://www.vlr.gg/player/11244/gabit?timespan=all
brimstone,(33) 17%,660,1.14,213.2,1.20,136.9,77%,0.74,0.36,0.06,0.06,488,408,240,40,37,gabiTê,https://www.vlr.gg/player/11244/gabit?timespan=all
,,,,,,,,,,,,,,,,,erin,https://www.vlr.gg/player/29169/erin?timespan=all
jett,(44) 33%,889,0.97,225.5,0.99,149.5,69%,0.76,0.20,0.21,0.20,678,685,174,191,174,erin,https://www.vlr.gg/player/29169/erin?timespan=all
raze,(22) 16%,430,0.88,229.6,0.89,150.2,69%,0.73,0.25,0.19,0.19,312,352,106,80,80,erin,https://www.vlr.gg/player/29169/erin?timespan=all
sova,(17) 13%,326,0.98,185.5,0.93,127.9,67%,0.64,0.31,0.08,0.10,210,227,100,26,32,erin,https://www.vlr.gg/player/29169/erin?timespan=all
,,,,,,,,,,,,,,,,,Kyujinn,https://www.vlr.gg/player/44462/kyujinn?timespan=all
killjoy,(26) 46%,540,1.13,212.8,1.24,147.1,74%,0.80,0.16,0.09,0.07,433,348,89,47,36,Kyujinn,https://www.vlr.gg/player/44462/kyujinn?timespan=all
cypher,(11) 19%,225,1.09,201.0,1.13,134.6,71%,0.75,0.20,0.09,0.07,169,150,46,21,15,Kyujinn,https://www.vlr.gg/player/44462/kyujinn?timespan=all
jett,(7) 12%,126,1.01,210.9,1.07,146.1,69%,0.78,0.14,0.16,0.13,98,92,18,20,17,Kyujinn,https://www.vlr.gg/player/44462/kyujinn?timespan=all
,,,,,,,,,,,,,,,,,sereen,https://www.vlr.gg/player/38186/sereen?timespan=all
omen,(55) 34%,1085,1.11,198.9,1.06,126.8,76%,0.69,0.48,0.09,0.08,745,700,522,100,85,sereen,https://www.vlr.gg/player/38186/sereen?timespan=all
raze,(34) 21%,667,0.97,229.8,0.97,151.7,69%,0.76,0.24,0.19,0.17,508,525,162,128,116,sereen,https://www.vlr.gg/player/38186/sereen?timespan=all
skye,(15) 9%,305,1.15,208.9,1.24,130.6,77%,0.73,0.42,0.10,0.08,223,180,129,29,23,sereen,https://www.vlr.gg/player/38186/sereen?timespan=all
,,,,,,,,,,,,,,,,,Panda,https://www.vlr.gg/player/20091/panda?timespan=all
sova,(19) 29%,349,1.00,189.1,0.91,129.2,71%,0.64,0.32,0.07,0.05,224,245,113,25,18,Panda,https://www.vlr.gg/player/20091/panda?timespan=all
skye,(14) 21%,303,0.87,145.9,0.84,93.9,72%,0.53,0.42,0.04,0.03,160,190,128,11,8,Panda,https://www.vlr.gg/player/20091/panda?timespan=all
breach,(14) 21%,301,1.09,191.3,1.04,125.7,75%,0.66,0.45,0.06,0.03,200,192,135,18,10,Panda,https://www.vlr.gg/player/20091/panda?timespan=all
,,,,,,,,,,,,,,,,,Nanu,https://www.vlr.gg/player/21561/nanu?timespan=all
omen,(20) 29%,421,0.97,182.4,0.99,116.3,72%,0.64,0.28,0.06,0.07,271,275,116,27,30,Nanu,https://www.vlr.gg/player/21561/nanu?timespan=all
brimstone,(16) 24%,339,0.76,146.4,0.71,97.1,66%,0.50,0.34,0.07,0.09,170,239,115,24,31,Nanu,https://www.vlr.gg/player/21561/nanu?timespan=all
astra,(15) 22%,315,0.91,145.4,0.84,98.8,64%,0.56,0.26,0.04,0.06,176,210,83,14,18,Nanu,https://www.vlr.gg/player/21561/nanu?timespan=all
,,,,,,,,,,,,,,,,,Tr1cks,https://www.vlr.gg/player/16016/tr1cks?timespan=all
sova,(35) 25%,747,1.14,198.7,1.17,133.0,76%,0.70,0.29,0.07,0.07,525,449,219,51,54,Tr1cks,https://www.vlr.gg/player/16016/tr1cks?timespan=all
raze,(26) 18%,525,1.15,246.6,1.18,158.5,72%,0.82,0.24,0.14,0.11,429,365,128,74,58,Tr1cks,https://www.vlr.gg/player/16016/tr1cks?timespan=all
skye,(22) 15%,426,1.11,194.1,1.11,125.8,76%,0.69,0.52,0.06,0.09,292,264,221,26,37,Tr1cks,https://www.vlr.gg/player/16016/tr1cks?timespan=all
,,,,,,,,,,,,,,,,,nati,https://www.vlr.gg/player/40135/nati?timespan=all
viper,(7) 24%,154,1.05,223.9,1.10,140.3,71%,0.80,0.19,0.06,0.07,123,112,29,9,11,nati,https://www.vlr.gg/player/40135/nati?timespan=all
sova,(7) 24%,144,0.91,178.9,0.90,115.3,64%,0.61,0.20,0.08,0.06,88,98,29,12,8,nati,https://www.vlr.gg/player/40135/nati?timespan=all
omen,(5) 17%,97,1.02,187.8,1.05,134.9,73%,0.67,0.35,0.02,0.07,65,62,34,2,7,nati,https://www.vlr.gg/player/40135/nati?timespan=all
,,,,,,,,,,,,,,,,,flowerful,https://www.vlr.gg/player/3101/flowerful?timespan=all
killjoy,(220) 48%,4409,1.08,205.8,1.14,137.8,73%,0.73,0.17,0.07,0.06,3218,2827,745,313,279,flowerful,https://www.vlr.gg/player/3101/flowerful?timespan=all
chamber,(151) 33%,3061,1.10,215.1,1.17,142.9,72%,0.78,0.14,0.12,0.08,2374,2029,429,363,249,flowerful,https://www.vlr.gg/player/3101/flowerful?timespan=all
cypher,(45) 10%,857,1.11,197.8,1.19,135.4,74%,0.73,0.23,0.07,0.06,624,525,200,58,54,flowerful,https://www.vlr.gg/player/3101/flowerful?timespan=all
,,,,,,,,,,,,,,,,,Tweeya,https://www.vlr.gg/player/16622/tweeya?timespan=all
omen,(22) 23%,420,1.04,189.9,1.04,122.2,74%,0.69,0.45,0.05,0.06,289,277,191,19,27,Tweeya,https://www.vlr.gg/player/16622/tweeya?timespan=all
raze,(18) 19%,370,1.15,252.7,1.12,169.4,74%,0.82,0.27,0.11,0.09,302,270,101,40,33,Tweeya,https://www.vlr.gg/player/16622/tweeya?timespan=all
viper,(13) 14%,281,0.93,185.8,0.89,124.5,72%,0.63,0.33,0.06,0.05,178,199,93,17,15,Tweeya,https://www.vlr.gg/player/16622/tweeya?timespan=all
,,,,,,,,,,,,,,,,,Hollywood,https://www.vlr.gg/player/14780/hollywood?timespan=all
