agents,games,rounds,rating,acs,k/d,adr,kast,kpr,apr,fkpr,fdpr,kills,deaths,assists,first bloods,first deaths,Player Name,URL
,,,,,,,,,,,,,,,,,DeadFox,https://www.vlr.gg/player/7882/deadfox?timespan=all
jett,(66) 68%,1374,1.11,234.5,1.21,141.1,72%,0.83,0.16,0.18,0.15,1143,945,226,238,193,DeadFox,https://www.vlr.gg/player/7882/deadfox?timespan=all
sova,(11) 11%,243,1.03,194.5,1.08,135.5,76%,0.64,0.33,0.04,0.07,156,145,81,10,17,DeadFox,https://www.vlr.gg/player/7882/deadfox?timespan=all
skye,(5) 5%,99,0.93,123.0,0.81,85.8,69%,0.47,0.33,0.01,0.06,47,58,33,1,6,DeadFox,https://www.vlr.gg/player/7882/deadfox?timespan=all
,,,,,,,,,,,,,,,,,INPA,https://www.vlr.gg/player/2148/inpa?timespan=all
sova,(27) 44%,526,,180.7,1.00,117.7,,0.61,0.36,0.07,0.07,319,320,191,37,35,INPA,https://www.vlr.gg/player/2148/inpa?timespan=all
breach,(8) 13%,172,,162.5,0.76,101.3,,0.51,0.53,0.06,0.10,88,116,91,10,18,INPA,https://www.vlr.gg/player/2148/inpa?timespan=all
omen,(8) 13%,170,0.59,160.5,0.75,100.3,62%,0.55,0.25,0.06,0.15,93,124,42,10,25,INPA,https://www.vlr.gg/player/2148/inpa?timespan=all
,,,,,,,,,,,,,,,,,ChromnZ,https://www.vlr.gg/player/11888/chromnz?timespan=all
raze,(42) 82%,812,1.08,256.3,1.07,168.8,70%,0.84,0.30,0.16,0.14,683,641,240,127,114,ChromnZ,https://www.vlr.gg/player/11888/chromnz?timespan=all
killjoy,(3) 6%,54,1.10,244.7,1.21,160.9,70%,0.85,0.20,0.15,0.06,46,38,11,8,3,ChromnZ,https://www.vlr.gg/player/11888/chromnz?timespan=all
cypher,(2) 4%,38,0.80,173.5,0.71,110.8,55%,0.58,0.24,0.05,0.26,22,31,9,2,10,ChromnZ,https://www.vlr.gg/player/11888/chromnz?timespan=all
,,,,,,,,,,,,,,,,,Peloncito,https://www.vlr.gg/player/15931/peloncito?timespan=all
sova,(62) 47%,1265,1.04,207.0,0.98,138.4,71%,0.70,0.34,0.08,0.07,883,902,427,107,92,Peloncito,https://www.vlr.gg/player/15931/peloncito?timespan=all
skye,(20) 15%,427,0.95,195.8,0.90,123.5,72%,0.65,0.40,0.07,0.08,279,311,172,30,33,Peloncito,https://www.vlr.gg/player/15931/peloncito?timespan=all
gekko,(15) 11%,290,0.83,156.9,0.79,106.0,68%,0.55,0.32,0.07,0.11,160,203,93,21,33,Peloncito,https://www.vlr.gg/player/15931/peloncito?timespan=all
,,,,,,,,,,,,,,,,,dapr,https://www.vlr.gg/player/454/dapr?timespan=all
cypher,(279) 54%,5821,1.01,203.5,1.09,125.5,73%,0.72,0.30,0.09,0.08,4186,3841,1725,539,391,dapr,https://www.vlr.gg/player/454/dapr?timespan=all
killjoy,(100) 19%,2088,1.01,199.3,1.03,133.6,72%,0.68,0.21,0.09,0.08,1429,1386,446,183,170,dapr,https://www.vlr.gg/player/454/dapr?timespan=all
viper,(78) 15%,1608,0.98,186.8,0.95,122.4,73%,0.63,0.33,0.08,0.08,1013,1064,530,123,136,dapr,https://www.vlr.gg/player/454/dapr?timespan=all
,,,,,,,,,,,,,,,,,PAULTATO,https://www.vlr.gg/player/10496/paultato?timespan=all
killjoy,(92) 59%,1962,0.97,193.0,0.99,132.1,71%,0.67,0.19,0.08,0.07,1311,1328,368,150,120,PAULTATO,https://www.vlr.gg/player/10496/paultato?timespan=all
sage,(20) 13%,410,1.00,200.4,1.00,124.9,69%,0.68,0.32,0.08,0.10,279,279,130,32,42,PAULTATO,https://www.vlr.gg/player/10496/paultato?timespan=all
kayo,(16) 10%,349,1.15,206.5,1.07,140.9,77%,0.72,0.55,0.05,0.07,251,234,191,16,23,PAULTATO,https://www.vlr.gg/player/10496/paultato?timespan=all
,,,,,,,,,,,,,,,,,Aclx,https://www.vlr.gg/player/2372/aclx?timespan=all
reyna,(32) 25%,701,0.95,219.5,0.98,143.5,68%,0.76,0.23,0.15,0.16,530,540,162,102,110,Aclx,https://www.vlr.gg/player/2372/aclx?timespan=all
raze,(30) 24%,610,1.06,226.3,0.89,153.1,69%,0.72,0.26,0.13,0.13,441,494,160,80,72,Aclx,https://www.vlr.gg/player/2372/aclx?timespan=all
killjoy,(26) 20%,561,1.03,218.8,1.02,152.8,72%,0.74,0.22,0.09,0.08,413,403,122,49,45,Aclx,https://www.vlr.gg/player/2372/aclx?timespan=all
,,,,,,,,,,,,,,,,,FOX,https://www.vlr.gg/player/12320/fox?timespan=all
breach,(65) 25%,1403,1.03,188.4,0.97,124.7,71%,0.67,0.37,0.05,0.07,936,969,524,73,92,FOX,https://www.vlr.gg/player/12320/fox?timespan=all
sage,(34) 13%,727,0.95,187.9,0.88,121.5,71%,0.65,0.37,0.08,0.07,469,531,268,60,50,FOX,https://www.vlr.gg/player/12320/fox?timespan=all
killjoy,(30) 12%,595,0.99,189.1,1.01,127.7,67%,0.67,0.16,0.07,0.07,396,391,94,42,40,FOX,https://www.vlr.gg/player/12320/fox?timespan=all
,,,,,,,,,,,,,,,,,TENSAI,https://www.vlr.gg/player/2511/tensai?timespan=all
sova,(121) 63%,2449,1.15,219.1,1.10,143.5,77%,0.73,0.37,0.08,0.06,1786,1625,907,184,138,TENSAI,https://www.vlr.gg/player/2511/tensai?timespan=all
reyna,(11) 6%,232,1.14,241.2,1.27,146.9,77%,0.84,0.25,0.09,0.10,196,154,59,22,23,TENSAI,https://www.vlr.gg/player/2511/tensai?timespan=all
jett,(10) 5%,223,1.13,239.0,1.19,147.8,72%,0.83,0.19,0.17,0.13,184,154,42,38,29,TENSAI,https://www.vlr.gg/player/2511/tensai?timespan=all
,,,,,,,,,,,,,,,,,GANA,https://www.vlr.gg/player/4476/gana?timespan=all
breach,(36) 51%,743,0.98,187.4,1.04,114.7,86%,0.63,0.55,0.04,0.04,471,454,412,27,31,GANA,https://www.vlr.gg/player/4476/gana?timespan=all
omen,(19) 27%,377,1.09,202.7,1.10,124.5,76%,0.70,0.33,0.06,0.04,265,240,123,22,16,GANA,https://www.vlr.gg/player/4476/gana?timespan=all
brimstone,(9) 13%,171,,212.7,1.12,141.0,,0.69,0.55,0.08,0.05,118,105,94,13,9,GANA,https://www.vlr.gg/player/4476/gana?timespan=all
,,,,,,,,,,,,,,,,,cNed,https://www.vlr.gg/player/573/cned?timespan=all
jett,(314) 66%,6548,1.23,266.0,1.39,161.1,74%,0.95,0.15,0.20,0.13,6217,4469,1013,1313,798,cNed,https://www.vlr.gg/player/573/cned?timespan=all
raze,(57) 12%,1204,1.04,232.3,1.03,157.1,71%,0.79,0.19,0.15,0.15,947,921,234,182,178,cNed,https://www.vlr.gg/player/573/cned?timespan=all
sage,(36) 8%,705,1.22,229.2,1.36,142.9,75%,0.84,0.32,0.13,0.10,590,434,223,91,70,cNed,https://www.vlr.gg/player/573/cned?timespan=all
,,,,,,,,,,,,,,,,,LarryBanks,https://www.vlr.gg/player/4916/larrybanks?timespan=all
sova,(176) 47%,3676,1.08,210.0,1.05,139.2,75%,0.71,0.36,0.08,0.07,2610,2487,1336,300,242,LarryBanks,https://www.vlr.gg/player/4916/larrybanks?timespan=all
killjoy,(52) 14%,1048,1.09,217.6,1.14,147.5,74%,0.75,0.21,0.11,0.09,789,690,218,115,97,LarryBanks,https://www.vlr.gg/player/4916/larrybanks?timespan=all
skye,(38) 10%,810,0.89,187.1,0.91,120.1,73%,0.66,0.29,0.10,0.13,536,588,231,79,104,LarryBanks,https://www.vlr.gg/player/4916/larrybanks?timespan=all
,,,,,,,,,,,,,,,,,celtrak,https://www.vlr.gg/player/9353/celtrak?timespan=all
omen,(14) 23%,305,0.97,198.2,1.02,125.0,74%,0.68,0.41,0.08,0.08,208,203,124,24,24,celtrak,https://www.vlr.gg/player/9353/celtrak?timespan=all
jett,(9) 15%,187,0.89,264.3,1.30,154.0,67%,0.91,0.20,0.20,0.12,171,132,37,37,23,celtrak,https://www.vlr.gg/player/9353/celtrak?timespan=all
