agents,games,rounds,rating,acs,k/d,adr,kast,kpr,apr,fkpr,fdpr,kills,deaths,assists,first bloods,first deaths,Player Name,URL
sova,(216) 68%,4374,0.95,175.2,0.87,116.1,73%,0.59,0.32,0.05,0.06,2600,2983,1386,236,263,Akashi,https://www.vlr.gg/player/3908/akashi?timespan=all
fade,(35) 11%,704,0.84,173.7,0.77,113.7,70%,0.57,0.40,0.06,0.06,402,523,283,41,45,Akashi,https://www.vlr.gg/player/3908/akashi?timespan=all
skye,(33) 10%,681,0.88,187.1,0.88,121.8,70%,0.66,0.35,0.09,0.10,448,511,241,61,65,Akashi,https://www.vlr.gg/player/3908/akashi?timespan=all
,,,,,,,,,,,,,,,,,binjo,https://www.vlr.gg/player/26311/binjo?timespan=all
chamber,(29) 47%,613,1.02,199.9,1.07,127.1,69%,0.73,0.13,0.11,0.10,446,418,79,68,60,binjo,https://www.vlr.gg/player/26311/binjo?timespan=all
killjoy,(15) 24%,327,1.04,208.1,1.05,138.8,71%,0.71,0.20,0.07,0.05,232,222,65,22,15,binjo,https://www.vlr.gg/player/26311/binjo?timespan=all
jett,(6) 10%,126,1.18,248.2,1.22,157.0,76%,0.90,0.19,0.14,0.14,113,93,24,18,18,binjo,https://www.vlr.gg/player/26311/binjo?timespan=all
,,,,,,,,,,,,,,,,,BaWaN,https://www.vlr.gg/player/4607/bawan?timespan=all
killjoy,(64) 54%,1403,1.08,213.0,1.12,138.4,73%,0.75,0.18,0.10,0.07,1048,935,258,139,103,BaWaN,https://www.vlr.gg/player/4607/bawan?timespan=all
viper,(15) 13%,318,0.90,187.1,0.88,126.6,70%,0.62,0.31,0.07,0.10,197,224,97,22,32,BaWaN,https://www.vlr.gg/player/4607/bawan?timespan=all
chamber,(11) 9%,222,0.93,209.6,0.93,137.1,63%,0.73,0.15,0.14,0.09,161,174,33,30,21,BaWaN,https://www.vlr.gg/player/4607/bawan?timespan=all
,,,,,,,,,,,,,,,,,tinchoff,https://www.vlr.gg/player/2585/tinchoff?timespan=all
killjoy,(98) 46%,2038,1.03,188.2,1.05,127.7,73%,0.67,0.16,0.07,0.07,1357,1296,326,135,145,tinchoff,https://www.vlr.gg/player/2585/tinchoff?timespan=all
cypher,(71) 33%,1499,0.99,165.5,1.00,110.2,71%,0.62,0.22,0.07,0.09,923,927,329,112,129,tinchoff,https://www.vlr.gg/player/2585/tinchoff?timespan=all
viper,(19) 9%,392,0.89,159.6,0.83,106.7,69%,0.54,0.28,0.06,0.09,213,256,108,23,34,tinchoff,https://www.vlr.gg/player/2585/tinchoff?timespan=all
,,,,,,,,,,,,,,,,,Drog,https://www.vlr.gg/player/31300/drog?timespan=all
cypher,(25) 35%,510,1.01,199.4,1.05,139.8,68%,0.76,0.19,0.11,0.07,386,369,98,55,36,Drog,https://www.vlr.gg/player/31300/drog?timespan=all
killjoy,(19) 27%,408,0.93,171.7,0.93,123.5,64%,0.65,0.14,0.08,0.09,267,286,56,34,37,Drog,https://www.vlr.gg/player/31300/drog?timespan=all
viper,(6) 8%,132,1.00,209.5,1.05,140.4,68%,0.77,0.20,0.06,0.11,102,97,26,8,14,Drog,https://www.vlr.gg/player/31300/drog?timespan=all
,,,,,,,,,,,,,,,,,Razvy,https://www.vlr.gg/player/6090/razvy?timespan=all
omen,(62) 25%,1243,1.10,213.5,1.09,140.3,75%,0.77,0.34,0.09,0.07,952,871,422,108,84,Razvy,https://www.vlr.gg/player/6090/razvy?timespan=all
raze,(54) 22%,1069,0.99,243.0,1.11,158.1,73%,0.83,0.23,0.14,0.09,882,795,245,148,100,Razvy,https://www.vlr.gg/player/6090/razvy?timespan=all
