agents,games,rounds,rating,acs,k/d,adr,kast,kpr,apr,fkpr,fdpr,kills,deaths,assists,first bloods,first deaths,Player Name,URL
sova,(20) 7%,386,1.14,223.6,1.10,152.3,77%,0.75,0.39,0.05,0.07,288,263,149,21,26,silentzz,https://www.vlr.gg/player/11921/silentzz?timespan=all
,,,,,,,,,,,,,,,,,Darwin,https://www.vlr.gg/player/35761/darwin?timespan=all
sova,(25) 37%,510,0.85,173.7,0.77,118.4,70%,0.57,0.31,0.05,0.06,293,381,157,24,33,Darwin,https://www.vlr.gg/player/35761/darwin?timespan=all
omen,(9) 13%,176,0.83,146.6,0.77,93.3,72%,0.52,0.39,0.05,0.07,91,118,69,9,12,Darwin,https://www.vlr.gg/player/35761/darwin?timespan=all
breach,(8) 12%,165,0.87,164.8,0.82,100.1,72%,0.56,0.53,0.03,0.08,92,112,87,5,14,Darwin,https://www.vlr.gg/player/35761/darwin?timespan=all
,,,,,,,,,,,,,,,,,Duno,https://www.vlr.gg/player/322/duno?timespan=all
sova,(163) 43%,3350,1.00,188.2,1.07,126.1,72%,0.64,0.37,0.07,0.05,2144,2001,1240,226,144,Duno,https://www.vlr.gg/player/322/duno?timespan=all
astra,(94) 25%,1939,1.06,182.2,1.08,115.3,76%,0.65,0.36,0.06,0.06,1266,1170,691,109,113,Duno,https://www.vlr.gg/player/322/duno?timespan=all
sage,(35) 9%,750,0.89,172.3,0.94,106.5,70%,0.59,0.31,0.07,0.07,446,474,236,51,50,Duno,https://www.vlr.gg/player/322/duno?timespan=all
,,,,,,,,,,,,,,,,,Pkm,https://www.vlr.gg/player/28401/pkm?timespan=all
raze,(33) 37%,716,1.16,252.1,1.26,164.7,74%,0.86,0.18,0.19,0.13,618,490,128,135,92,Pkm,https://www.vlr.gg/player/28401/pkm?timespan=all
viper,(10) 11%,209,1.02,207.7,1.01,146.1,72%,0.70,0.26,0.12,0.09,146,144,54,25,19,Pkm,https://www.vlr.gg/player/28401/pkm?timespan=all
neon,(8) 9%,189,0.89,212.9,0.89,136.3,69%,0.71,0.24,0.17,0.21,135,151,45,32,40,Pkm,https://www.vlr.gg/player/28401/pkm?timespan=all
,,,,,,,,,,,,,,,,,aztex,https://www.vlr.gg/player/8600/aztex?timespan=all
sova,(46) 39%,990,0.87,172.2,0.81,117.3,71%,0.60,0.34,0.06,0.08,591,731,340,55,79,aztex,https://www.vlr.gg/player/8600/aztex?timespan=all
jett,(38) 32%,786,0.96,218.6,1.02,139.6,71%,0.77,0.15,0.21,0.21,607,598,119,162,162,aztex,https://www.vlr.gg/player/8600/aztex?timespan=all
skye,(14) 12%,271,0.90,180.1,0.89,106.6,68%,0.67,0.36,0.07,0.09,182,204,97,20,24,aztex,https://www.vlr.gg/player/8600/aztex?timespan=all
,,,,,,,,,,,,,,,,,flyuh,https://www.vlr.gg/player/3685/flyuh?timespan=all
sova,(119) 20%,2494,1.04,196.3,1.03,130.6,74%,0.67,0.33,0.06,0.07,1659,1618,833,158,170,flyuh,https://www.vlr.gg/player/3685/flyuh?timespan=all
viper,(107) 18%,2194,1.00,203.1,1.02,132.8,72%,0.69,0.33,0.09,0.11,1523,1496,720,201,252,flyuh,https://www.vlr.gg/player/3685/flyuh?timespan=all
kayo,(87) 14%,1860,1.02,197.6,0.97,127.6,76%,0.67,0.57,0.07,0.11,1247,1290,1054,134,199,flyuh,https://www.vlr.gg/player/3685/flyuh?timespan=all
,,,,,,,,,,,,,,,,,OuTLaW,https://www.vlr.gg/player/5601/outlaw?timespan=all
viper,(182) 40%,3785,1.05,205.4,1.09,135.7,72%,0.73,0.30,0.09,0.08,2765,2532,1147,330,305,OuTLaW,https://www.vlr.gg/player/5601/outlaw?timespan=all
kayo,(108) 24%,2252,1.11,212.4,1.12,136.4,77%,0.74,0.48,0.07,0.06,1672,1488,1080,167,132,OuTLaW,https://www.vlr.gg/player/5601/outlaw?timespan=all
killjoy,(87) 19%,1809,1.03,206.7,1.07,136.0,72%,0.72,0.19,0.07,0.07,1305,1214,335,128,129,OuTLaW,https://www.vlr.gg/player/5601/outlaw?timespan=all
,,,,,,,,,,,,,,,,,Magneto,https://www.vlr.gg/player/35756/magneto?timespan=all
omen,(33) 31%,675,0.85,174.9,0.81,118.6,66%,0.61,0.37,0.07,0.11,414,511,253,48,77,Magneto,https://www.vlr.gg/player/35756/magneto?timespan=all
breach,(13) 12%,282,0.93,175.7,0.84,116.7,72%,0.60,0.48,0.07,0.06,168,201,135,21,18,Magneto,https://www.vlr.gg/player/35756/magneto?timespan=all
raze,(12) 11%,249,1.12,258.5,1.11,172.4,71%,0.83,0.32,0.18,0.16,207,186,79,45,41,Magneto,https://www.vlr.gg/player/35756/magneto?timespan=all
,,,,,,,,,,,,,,,,,benjyfishy,https://www.vlr.gg/player/29873/benjyfishy?timespan=all
killjoy,(94) 41%,2005,1.05,206.7,1.13,138.9,71%,0.75,0.14,0.09,0.09,1506,1333,281,189,182,benjyfishy,https://www.vlr.gg/player/29873/benjyfishy?timespan=all
cypher,(66) 29%,1369,1.02,194.3,1.08,130.0,71%,0.73,0.21,0.09,0.09,994,917,281,120,119,benjyfishy,https://www.vlr.gg/player/29873/benjyfishy?timespan=all
jett,(30) 13%,603,1.24,255.7,1.36,161.0,73%,0.90,0.18,0.21,0.14,545,402,108,124,83,benjyfishy,https://www.vlr.gg/player/29873/benjyfishy?timespan=all
,,,,,,,,,,,,,,,,,dip,https://www.vlr.gg/player/8397/dip?timespan=all
sova,(470) 53%,9676,1.16,216.2,1.17,143.0,76%,0.74,0.36,0.08,0.06,7203,6160,3517,786,617,dip,https://www.vlr.gg/player/8397/dip?timespan=all
jett,(132) 15%,2746,1.02,220.9,1.10,140.1,70%,0.78,0.17,0.18,0.14,2146,1957,468,505,392,dip,https://www.vlr.gg/player/8397/dip?timespan=all
skye,(49) 6%,1030,0.95,179.5,0.95,113.4,72%,0.63,0.39,0.07,0.11,652,685,404,72,113,dip,https://www.vlr.gg/player/8397/dip?timespan=all
,,,,,,,,,,,,,,,,,K1LLERS,https://www.vlr.gg/player/8036/k1llers?timespan=all
raze,(120) 38%,2418,1.19,261.7,1.26,166.5,75%,0.90,0.21,0.18,0.13,2168,1714,503,432,305,K1LLERS,https://www.vlr.gg/player/8036/k1llers?timespan=all
jett,(72) 23%,1469,1.12,239.0,1.17,149.5,72%,0.85,0.16,0.18,0.14,1246,1065,232,261,200,K1LLERS,https://www.vlr.gg/player/8036/k1llers?timespan=all
kayo,(47) 15%,983,1.13,215.1,1.11,140.6,79%,0.75,0.53,0.09,0.07,738,663,518,84,67,K1LLERS,https://www.vlr.gg/player/8036/k1llers?timespan=all
,,,,,,,,,,,,,,,,,GodsB,https://www.vlr.gg/player/42749/godsb?timespan=all
killjoy,(15) 33%,307,1.02,191.7,1.04,132.2,69%,0.69,0.12,0.08,0.07,211,203,38,24,23,GodsB,https://www.vlr.gg/player/42749/godsb?timespan=all
cypher,(9) 20%,187,1.00,186.3,0.95,121.1,65%,0.65,0.32,0.07,0.09,122,128,59,14,16,GodsB,https://www.vlr.gg/player/42749/godsb?timespan=all
viper,(8) 17%,184,1.07,201.0,1.07,138.3,68%,0.71,0.24,0.09,0.10,130,122,44,16,18,GodsB,https://www.vlr.gg/player/42749/godsb?timespan=all
,,,,,,,,,,,,,,,,,bjor,https://www.vlr.gg/player/418/bjor?timespan=all
killjoy,(241) 34%,5023,1.10,220.9,1.18,146.5,74%,0.77,0.21,0.09,0.09,3870,3273,1053,454,434,bjor,https://www.vlr.gg/player/418/bjor?timespan=all
omen,(119) 17%,2427,1.13,208.8,1.16,133.9,77%,0.74,0.41,0.08,0.06,1794,1541,983,195,153,bjor,https://www.vlr.gg/player/418/bjor?timespan=all
cypher,(99) 14%,2019,1.05,204.0,1.08,132.8,71%,0.73,0.24,0.08,0.09,1467,1354,481,166,158,bjor,https://www.vlr.gg/player/418/bjor?timespan=all
,,,,,,,,,,,,,,,,,Louboutin,https://www.vlr.gg/player/23041/louboutin?timespan=all
chamber,(26) 23%,542,0.95,192.4,0.94,128.6,66%,0.70,0.12,0.08,0.08,379,405,63,42,44,Louboutin,https://www.vlr.gg/player/23041/louboutin?timespan=all
jett,(16) 14%,336,0.98,227.4,1.03,145.6,66%,0.79,0.16,0.20,0.20,267,259,55,66,68,Louboutin,https://www.vlr.gg/player/23041/louboutin?timespan=all
killjoy,(13) 12%,284,1.05,216.0,1.07,150.0,71%,0.75,0.12,0.08,0.09,214,200,35,22,26,Louboutin,https://www.vlr.gg/player/23041/louboutin?timespan=all
,,,,,,,,,,,,,,,,,coconut,https://www.vlr.gg/player/12365/coconut?timespan=all
killjoy,(29) 18%,577,1.21,230.2,1.29,154.2,72%,0.82,0.14,0.11,0.09,476,368,83,60,48,coconut,https://www.vlr.gg/player/12365/coconut?timespan=all
cypher,(19) 12%,394,1.21,220.8,1.39,149.2,77%,0.82,0.20,0.09,0.06,324,233,80,36,23,coconut,https://www.vlr.gg/player/12365/coconut?timespan=all
sova,(18) 11%,358,1.22,224.9,1.25,153.9,76%,0.78,0.33,0.08,0.08,280,224,117,30,29,coconut,https://www.vlr.gg/player/12365/coconut?timespan=all
,,,,,,,,,,,,,,,,,B1ngXun,https://www.vlr.gg/player/46038/b1ngxun?timespan=all
killjoy,(20) 65%,413,1.04,201.3,1.06,137.8,69%,0.71,0.16,0.07,0.08,294,277,65,29,33,B1ngXun,https://www.vlr.gg/player/46038/b1ngxun?timespan=all
cypher,(10) 32%,205,0.98,189.6,0.98,127.2,67%,0.68,0.21,0.08,0.11,140,143,44,16,23,B1ngXun,https://www.vlr.gg/player/46038/b1ngxun?timespan=all
viper,(1) 3%,17,0.63,145.0,0.50,98.2,71%,0.41,0.59,0.06,0.18,7,14,10,1,3,B1ngXun,https://www.vlr.gg/player/46038/b1ngxun?timespan=all
,,,,,,,,,,,,,,,,,troublemaker,https://www.vlr.gg/player/6742/troublemaker?timespan=all
skye,(30) 30%,591,0.93,202.2,0.97,130.4,68%,0.72,0.25,0.11,0.15,428,441,149,63,86,troublemaker,https://www.vlr.gg/player/6742/troublemaker?timespan=all
sova,(25) 25%,527,0.94,195.8,0.90,134.9,66%,0.66,0.29,0.08,0.11,349,388,155,43,56,troublemaker,https://www.vlr.gg/player/6742/troublemaker?timespan=all
omen,(14) 14%,299,0.83,173.1,0.81,114.4,66%,0.61,0.31,0.08,0.07,183,227,94,23,22,troublemaker,https://www.vlr.gg/player/6742/troublemaker?timespan=all
,,,,,,,,,,,,,,,,,gatorada,https://www.vlr.gg/player/37664/gatorada?timespan=all
omen,(59) 66%,1241,1.00,179.9,0.94,112.6,75%,0.62,0.50,0.06,0.05,769,818,621,77,67,gatorada,https://www.vlr.gg/player/37664/gatorada?timespan=all
viper,(14) 16%,308,1.05,200.6,0.98,127.9,71%,0.68,0.34,0.06,0.08,208,213,106,19,26,gatorada,https://www.vlr.gg/player/37664/gatorada?timespan=all
brimstone,(8) 9%,138,1.07,203.8,0.98,131.4,82%,0.64,0.57,0.06,0.07,88,90,79,8,9,gatorada,https://www.vlr.gg/player/37664/gatorada?timespan=all
,,,,,,,,,,,,,,,,,shéd,https://www.vlr.gg/player/3655/sh-d?timespan=all
jett,(105) 36%,2167,1.10,238.9,1.14,154.5,70%,0.85,0.17,0.18,0.14,1848,1626,361,380,307,shéd,https://www.vlr.gg/player/3655/sh-d?timespan=all
raze,(100) 35%,2131,1.12,257.8,1.18,165.1,73%,0.89,0.21,0.16,0.13,1897,1601,444,347,274,shéd,https://www.vlr.gg/player/3655/sh-d?timespan=all
reyna,(43) 15%,873,1.07,261.6,1.28,162.7,66%,0.95,0.19,0.18,0.14,831,648,168,155,125,shéd,https://www.vlr.gg/player/3655/sh-d?timespan=all
,,,,,,,,,,,,,,,,,Tmy,https://www.vlr.gg/player/30702/tmy?timespan=all
cypher,(71) 40%,1517,0.95,195.6,0.96,128.8,66%,0.70,0.25,0.09,0.11,1057,1097,372,143,161,Tmy,https://www.vlr.gg/player/30702/tmy?timespan=all
killjoy,(70) 40%,1472,0.92,197.3,0.93,135.6,63%,0.69,0.14,0.10,0.10,1013,1094,201,145,152,Tmy,https://www.vlr.gg/player/30702/tmy?timespan=all
viper,(10) 6%,198,0.98,216.8,0.97,131.7,66%,0.74,0.25,0.05,0.09,147,152,49,9,17,Tmy,https://www.vlr.gg/player/30702/tmy?timespan=all
,,,,,,,,,,,,,,,,,x v y,https://www.vlr.gg/player/9278/x-v-y?timespan=all
omen,(61) 24%,1279,0.98,178.2,1.00,113.4,73%,0.64,0.32,0.05,0.05,821,821,404,63,64,x v y,https://www.vlr.gg/player/9278/x-v-y?timespan=all
astra,(55) 22%,1180,0.98,179.6,0.95,116.2,70%,0.64,0.30,0.05,0.06,756,795,355,57,76,x v y,https://www.vlr.gg/player/9278/x-v-y?timespan=all
viper,(53) 21%,1088,1.09,206.9,1.13,133.3,73%,0.72,0.27,0.08,0.07,786,698,289,88,80,x v y,https://www.vlr.gg/player/9278/x-v-y?timespan=all
,,,,,,,,,,,,,,,,,zombs,https://www.vlr.gg/player/47/zombs?timespan=all
omen,(174) 52%,3591,0.93,174.2,0.93,109.9,76%,0.61,0.28,0.07,0.08,2203,2360,988,246,247,zombs,https://www.vlr.gg/player/47/zombs?timespan=all
astra,(77) 23%,1597,0.94,173.1,0.96,111.0,76%,0.62,0.33,0.06,0.07,988,1029,525,93,112,zombs,https://www.vlr.gg/player/47/zombs?timespan=all
brimstone,(53) 16%,1122,1.11,189.5,0.98,124.6,75%,0.65,0.28,0.08,0.08,734,752,309,87,39,zombs,https://www.vlr.gg/player/47/zombs?timespan=all
,,,,,,,,,,,,,,,,,Tooug,https://www.vlr.gg/player/6248/tooug?timespan=all
kayo,(43) 33%,940,1.00,206.7,0.97,131.2,71%,0.70,0.42,0.09,0.11,658,676,398,81,99,Tooug,https://www.vlr.gg/player/6248/tooug?timespan=all
breach,(20) 15%,426,1.05,200.9,1.07,125.9,73%,0.72,0.38,0.04,0.08,306,285,161,19,35,Tooug,https://www.vlr.gg/player/6248/tooug?timespan=all
skye,(20) 15%,421,0.96,184.4,0.97,121.2,67%,0.68,0.22,0.09,0.12,288,296,92,38,52,Tooug,https://www.vlr.gg/player/6248/tooug?timespan=all
,,,,,,,,,,,,,,,,,soulcas,https://www.vlr.gg/player/101/soulcas?timespan=all
skye,(101) 22%,2047,0.96,191.3,1.08,121.5,72%,0.68,0.27,0.08,0.08,1402,1303,549,172,163,soulcas,https://www.vlr.gg/player/101/soulcas?timespan=all
raze,(99) 22%,2047,1.10,239.4,1.16,154.9,75%,0.81,0.24,0.13,0.15,1652,1422,489,259,206,soulcas,https://www.vlr.gg/player/101/soulcas?timespan=all
sova,(79) 17%,1595,1.11,198.0,1.11,133.4,79%,0.67,0.41,0.06,0.05,1063,957,651,101,72,soulcas,https://www.vlr.gg/player/101/soulcas?timespan=all
,,,,,,,,,,,,,,,,,RobbieBk,https://www.vlr.gg/player/5893/robbiebk?timespan=all
sova,(132) 54%,2708,1.17,205.2,1.21,138.3,77%,0.72,0.33,0.07,0.06,1949,1612,895,197,150,RobbieBk,https://www.vlr.gg/player/5893/robbiebk?timespan=all
skye,(38) 15%,811,0.99,187.1,0.96,122.0,71%,0.67,0.34,0.07,0.07,542,564,276,58,60,RobbieBk,https://www.vlr.gg/player/5893/robbiebk?timespan=all
fade,(35) 14%,715,1.14,204.1,1.16,134.3,77%,0.73,0.40,0.07,0.04,524,451,287,51,31,RobbieBk,https://www.vlr.gg/player/5893/robbiebk?timespan=all
,,,,,,,,,,,,,,,,,Bonobo,https://www.vlr.gg/player/36747/bonobo?timespan=all
jett,(42) 44%,860,1.02,215.2,1.07,141.0,70%,0.77,0.17,0.17,0.14,662,618,143,146,122,Bonobo,https://www.vlr.gg/player/36747/bonobo?timespan=all
raze,(25) 26%,543,1.08,235.3,1.18,154.4,73%,0.82,0.19,0.14,0.14,445,377,101,77,70,Bonobo,https://www.vlr.gg/player/36747/bonobo?timespan=all
yoru,(7) 7%,155,0.93,203.4,0.98,140.7,70%,0.74,0.19,0.13,0.10,114,116,30,20,16,Bonobo,https://www.vlr.gg/player/36747/bonobo?timespan=all
,,,,,,,,,,,,,,,,,JohnOlsen,https://www.vlr.gg/player/4377/johnolsen?timespan=all
jett,(214) 47%,4441,1.19,261.2,1.31,163.7,73%,0.92,0.17,0.21,0.15,4072,3100,742,923,668,JohnOlsen,https://www.vlr.gg/player/4377/johnolsen?timespan=all
raze,(79) 17%,1644,1.10,249.4,1.13,165.0,73%,0.84,0.20,0.18,0.15,1385,1225,329,297,246,JohnOlsen,https://www.vlr.gg/player/4377/johnolsen?timespan=all
phoenix,(41) 9%,883,1.18,253.3,1.29,160.7,76%,0.90,0.24,0.13,0.12,795,617,214,114,103,JohnOlsen,https://www.vlr.gg/player/4377/johnolsen?timespan=all
,,,,,,,,,,,,,,,,,Cebando,https://www.vlr.gg/player/9354/cebando?timespan=all
omen,(89) 48%,1834,1.08,198.8,1.09,123.6,75%,0.71,0.44,0.08,0.08,1307,1198,804,140,143,Cebando,https://www.vlr.gg/player/9354/cebando?timespan=all
astra,(58) 32%,1210,1.10,199.8,1.13,126.9,76%,0.73,0.38,0.08,0.07,880,778,456,102,88,Cebando,https://www.vlr.gg/player/9354/cebando?timespan=all
brimstone,(18) 10%,372,0.95,201.3,0.91,129.9,70%,0.69,0.39,0.10,0.05,255,281,145,37,19,Cebando,https://www.vlr.gg/player/9354/cebando?timespan=all
,,,,,,,,,,,,,,,,,KRAY,https://www.vlr.gg/player/390/kray?timespan=all
viper,(131) 33%,2739,1.07,205.3,1.11,135.6,74%,0.72,0.30,0.08,0.07,1969,1768,813,210,203,KRAY,https://www.vlr.gg/player/390/kray?timespan=all
killjoy,(117) 29%,2443,1.02,198.8,1.08,132.7,73%,0.70,0.18,0.08,0.06,1719,1589,446,187,153,KRAY,https://www.vlr.gg/player/390/kray?timespan=all
cypher,(79) 20%,1638,0.95,194.5,1.06,126.5,71%,0.69,0.23,0.07,0.07,1129,1061,369,122,108,KRAY,https://www.vlr.gg/player/390/kray?timespan=all
,,,,,,,,,,,,,,,,,Mephisto,https://www.vlr.gg/player/31476/mephisto?timespan=all
jett,(24) 47%,494,1.13,243.4,1.19,159.0,66%,0.88,0.13,0.20,0.20,436,366,65,101,98,Mephisto,https://www.vlr.gg/player/31476/mephisto?timespan=all
raze,(21) 41%,445,1.08,253.9,1.04,165.7,71%,0.83,0.21,0.24,0.19,370,355,94,105,84,Mephisto,https://www.vlr.gg/player/31476/mephisto?timespan=all
gekko,(2) 4%,48,1.05,232.5,1.03,156.1,79%,0.81,0.31,0.13,0.21,39,38,15,6,10,Mephisto,https://www.vlr.gg/player/31476/mephisto?timespan=all
,,,,,,,,,,,,,,,,,Rawkus,https://www.vlr.gg/player/2140/rawkus?timespan=all
sova,(151) 62%,3111,1.07,178.9,1.05,117.0,75%,0.62,0.31,0.04,0.04,1938,1843,970,137,137,Rawkus,https://www.vlr.gg/player/2140/rawkus?timespan=all
viper,(18) 7%,369,1.11,193.8,1.17,124.0,76%,0.70,0.27,0.07,0.05,258,220,98,24,20,Rawkus,https://www.vlr.gg/player/2140/rawkus?timespan=all
omen,(15) 6%,310,1.01,159.3,0.86,100.6,76%,0.59,0.33,0.05,0.07,183,212,102,16,23,Rawkus,https://www.vlr.gg/player/2140/rawkus?timespan=all
,,,,,,,,,,,,,,,,,juseu,https://www.vlr.gg/player/7104/juseu?timespan=all
jett,(132) 36%,2793,1.05,237.0,1.17,143.5,72%,0.84,0.14,0.19,0.14,2348,2003,402,531,394,juseu,https://www.vlr.gg/player/7104/juseu?timespan=all
raze,(81) 22%,1682,1.13,240.4,1.16,157.1,74%,0.83,0.19,0.15,0.13,1393,1202,320,244,222,juseu,https://www.vlr.gg/player/7104/juseu?timespan=all
sage,(75) 21%,1581,1.00,211.0,1.06,131.2,73%,0.75,0.30,0.09,0.09,1178,1114,468,147,143,juseu,https://www.vlr.gg/player/7104/juseu?timespan=all
,,,,,,,,,,,,,,,,,msh,https://www.vlr.gg/player/37840/msh?timespan=all
killjoy,(59) 41%,1227,1.05,207.7,1.13,141.1,69%,0.75,0.13,0.10,0.09,924,815,165,119,110,msh,https://www.vlr.gg/player/37840/msh?timespan=all
cypher,(38) 26%,809,1.11,215.1,1.21,141.0,70%,0.80,0.21,0.11,0.08,648,537,167,92,62,msh,https://www.vlr.gg/player/37840/msh?timespan=all
viper,(13) 9%,264,0.90,192.0,0.97,130.3,67%,0.70,0.18,0.06,0.08,185,191,47,16,22,msh,https://www.vlr.gg/player/37840/msh?timespan=all
,,,,,,,,,,,,,,,,,iReLeX,https://www.vlr.gg/player/20665/irelex?timespan=all
cypher,(48) 35%,1020,0.97,189.6,0.98,127.3,68%,0.68,0.21,0.08,0.07,698,713,214,79,72,iReLeX,https://www.vlr.gg/player/20665/irelex?timespan=all
killjoy,(39) 28%,765,0.96,201.7,0.96,135.1,66%,0.70,0.14,0.08,0.08,538,561,106,59,61,iReLeX,https://www.vlr.gg/player/20665/irelex?timespan=all
sova,(14) 10%,291,0.89,169.6,0.87,119.4,64%,0.61,0.21,0.02,0.08,178,205,61,7,22,iReLeX,https://www.vlr.gg/player/20665/irelex?timespan=all
,,,,,,,,,,,,,,,,,jans0n,https://www.vlr.gg/player/21051/jans0n?timespan=all
killjoy,(35) 28%,734,1.07,209.6,1.11,141.3,70%,0.75,0.15,0.08,0.08,549,493,111,61,61,jans0n,https://www.vlr.gg/player/21051/jans0n?timespan=all
gekko,(26) 20%,582,0.93,174.8,0.87,117.8,70%,0.62,0.32,0.05,0.08,358,411,187,31,47,jans0n,https://www.vlr.gg/player/21051/jans0n?timespan=all
breach,(16) 13%,318,0.89,170.8,0.81,106.2,72%,0.59,0.47,0.04,0.06,187,231,148,14,19,jans0n,https://www.vlr.gg/player/21051/jans0n?timespan=all
,,,,,,,,,,,,,,,,,zeek,https://www.vlr.gg/player/26848/zeek?timespan=all
breach,(88) 26%,1741,1.09,199.7,1.05,125.4,77%,0.70,0.55,0.06,0.06,1215,1152,955,111,100,zeek,https://www.vlr.gg/player/26848/zeek?timespan=all
kayo,(65) 19%,1376,1.03,200.1,0.97,130.2,73%,0.68,0.52,0.06,0.10,940,969,714,87,132,zeek,https://www.vlr.gg/player/26848/zeek?timespan=all
omen,(42) 12%,876,1.03,200.7,1.03,128.1,74%,0.71,0.40,0.08,0.09,621,604,352,67,79,zeek,https://www.vlr.gg/player/26848/zeek?timespan=all
,,,,,,,,,,,,,,,,,kamyk,https://www.vlr.gg/player/1475/kamyk?timespan=all
raze,(54) 17%,1119,1.19,258.0,1.24,167.1,74%,0.87,0.23,0.12,0.12,972,785,253,131,138,kamyk,https://www.vlr.gg/player/1475/kamyk?timespan=all
sage,(35) 11%,687,1.09,206.8,1.12,129.3,74%,0.75,0.31,0.08,0.09,517,460,210,56,59,kamyk,https://www.vlr.gg/player/1475/kamyk?timespan=all
cypher,(32) 10%,653,1.09,207.5,1.12,133.8,72%,0.75,0.22,0.08,0.08,488,435,146,52,50,kamyk,https://www.vlr.gg/player/1475/kamyk?timespan=all
,,,,,,,,,,,,,,,,,Ninjas,https://www.vlr.gg/player/7288/ninjas?timespan=all
omen,(59) 22%,1253,0.93,178.7,0.88,118.4,68%,0.64,0.31,0.07,0.08,804,909,389,85,102,Ninjas,https://www.vlr.gg/player/7288/ninjas?timespan=all
breach,(51) 19%,1067,0.87,157.8,0.83,101.7,69%,0.57,0.38,0.06,0.07,607,735,407,61,80,Ninjas,https://www.vlr.gg/player/7288/ninjas?timespan=all
kayo,(42) 15%,902,0.93,168.1,0.83,112.9,73%,0.58,0.49,0.06,0.07,527,638,440,57,66,Ninjas,https://www.vlr.gg/player/7288/ninjas?timespan=all
,,,,,,,,,,,,,,,,,beyAz,https://www.vlr.gg/player/220/beyaz?timespan=all
sova,(148) 52%,3046,1.04,193.2,1.06,128.4,76%,0.67,0.37,0.05,0.06,2028,1907,1113,153,170,beyAz,https://www.vlr.gg/player/220/beyaz?timespan=all
raze,(43) 15%,870,1.01,226.1,1.07,145.7,73%,0.76,0.24,0.10,0.10,658,613,207,83,90,beyAz,https://www.vlr.gg/player/220/beyaz?timespan=all
skye,(23) 8%,508,1.02,173.3,1.03,115.0,74%,0.62,0.38,0.06,0.05,317,308,191,31,27,beyAz,https://www.vlr.gg/player/220/beyaz?timespan=all
,,,,,,,,,,,,,,,,,Deqadz,https://www.vlr.gg/player/31350/deqadz?timespan=all
omen,(47) 37%,972,1.04,199.4,1.03,125.8,72%,0.71,0.42,0.11,0.10,694,677,411,110,100,Deqadz,https://www.vlr.gg/player/31350/deqadz?timespan=all
viper,(30) 23%,635,1.08,220.4,1.12,143.0,76%,0.74,0.32,0.12,0.09,472,422,203,74,55,Deqadz,https://www.vlr.gg/player/31350/deqadz?timespan=all
brimstone,(11) 9%,220,0.99,184.5,0.89,119.4,76%,0.63,0.52,0.07,0.10,139,156,114,15,23,Deqadz,https://www.vlr.gg/player/31350/deqadz?timespan=all
,,,,,,,,,,,,,,,,,woody,https://www.vlr.gg/player/37057/woody?timespan=all
reyna,(15) 24%,285,1.20,240.0,1.22,163.0,74%,0.83,0.31,0.08,0.07,236,194,87,24,21,woody,https://www.vlr.gg/player/37057/woody?timespan=all
killjoy,(13) 21%,276,1.23,241.5,1.35,166.1,78%,0.87,0.16,0.09,0.05,239,177,45,24,15,woody,https://www.vlr.gg/player/37057/woody?timespan=all
sova,(10) 16%,205,1.17,236.2,1.21,163.5,75%,0.83,0.25,0.04,0.04,170,140,51,9,8,woody,https://www.vlr.gg/player/37057/woody?timespan=all
,,,,,,,,,,,,,,,,,stellar,https://www.vlr.gg/player/733/stellar?timespan=all
omen,(115) 19%,2447,1.13,190.2,1.03,122.9,77%,0.67,0.29,0.06,0.06,1633,1587,711,143,148,stellar,https://www.vlr.gg/player/733/stellar?timespan=all
sage,(114) 18%,2405,1.02,193.2,1.04,124.7,74%,0.68,0.34,0.07,0.06,1643,1587,808,168,128,stellar,https://www.vlr.gg/player/733/stellar?timespan=all
killjoy,(112) 18%,2330,1.12,211.0,1.18,142.0,74%,0.74,0.18,0.08,0.06,1730,1469,413,177,149,stellar,https://www.vlr.gg/player/733/stellar?timespan=all
,,,,,,,,,,,,,,,,,WIX,https://www.vlr.gg/player/4488/wix?timespan=all
sova,(66) 30%,1363,1.12,205.5,1.03,134.7,74%,0.70,0.32,0.06,0.06,952,923,442,82,75,WIX,https://www.vlr.gg/player/4488/wix?timespan=all
killjoy,(50) 23%,1086,0.94,200.0,0.98,136.3,66%,0.71,0.13,0.10,0.10,766,779,146,108,107,WIX,https://www.vlr.gg/player/4488/wix?timespan=all
chamber,(27) 12%,559,1.02,211.3,1.06,136.7,66%,0.76,0.13,0.15,0.12,424,400,70,86,65,WIX,https://www.vlr.gg/player/4488/wix?timespan=all
,,,,,,,,,,,,,,,,,severiNe,https://www.vlr.gg/player/7804/severine?timespan=all
killjoy,(78) 22%,1608,0.89,187.9,0.97,123.4,70%,0.64,0.19,0.10,0.11,1032,1068,311,153,170,severiNe,https://www.vlr.gg/player/7804/severine?timespan=all
kayo,(57) 16%,1180,1.03,198.5,0.98,127.2,73%,0.67,0.50,0.07,0.10,796,816,592,87,115,severiNe,https://www.vlr.gg/player/7804/severine?timespan=all
viper,(49) 14%,1056,0.89,180.7,0.89,116.4,72%,0.62,0.31,0.07,0.10,653,732,331,71,105,severiNe,https://www.vlr.gg/player/7804/severine?timespan=all
,,,,,,,,,,,,,,,,,tkzin,https://www.vlr.gg/player/41224/tkzin?timespan=all
